currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	23364.0 	22055.0 	22444.9 	18527.8 	14884.0 	16310.9 	16159.0 	22929.0 	27867.0 	32162.0 	30145.0 	33786.0 	35187.0 	75679.0 	42355.0 	89287.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,IT	35127.0 	46258.0 	39903.0 	33498.0 	20023.0 	10091.0 	15405.0 	9231.0 	5668.0 	7899.0 	-2628.0 	-14308.0 	-6486.0 	-13535.0 	-9463.0 	-30909.0 	-24753.0 	16707.0 	36529.0 	46332.0 	47947.0 	54250.0 	52227.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1283.4 	-1519.0 	-2471.4 	-3811.5 	-3783.4 	-452.5 	-526.2 	-797.6 	286.9 	437.2 	700.9 	-242.4 	474.5 	1172.1 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,LU	: 	: 	: 	: 	: 	: 	: 	6656.0 	6215.0 	6403.0 	6984.0 	9544.0 	11564.0 	12020.0 	11309.0 	11152.0 	11649.0 	13066.0 	14671.0 	16588.0 	18983.0 	18920.0 	18554.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,LV	: 	: 	: 	: 	: 	-483.0 	-718.0 	-801.0 	-1144.0 	-1646.0 	-1884.0 	-3396.0 	-4021.0 	-2803.0 	-151.0 	-241.0 	-1032.0 	-1014.0 	-848.0 	-340.0 	-121.0 	289.0 	24.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-121.2 	-206.5 	-98.2 	100.4 	40.9 	-74.1 	-39.3 	192.6 	373.4 	484.2 	1014.2 	681.1 	1199.9 	2207.2 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	41499.0 	47367.0 	50584.0 	54126.0 	55136.0 	45258.0 	52813.0 	54904.0 	61946.0 	69825.0 	71884.0 	51759.0 	72334.0 	79111.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-24059.0 	-10018.0 	-22760.0 	-42052.0 	-64556.0 	-11471.0 	-30506.0 	-33718.0 	-8979.0 	30725.0 	24291.0 	54936.0 	73778.0 	82485.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,PT	: 	-6666.0 	-8173.0 	-10141.0 	-12221.0 	-13961.0 	-13616.0 	-11632.0 	-10020.0 	-12322.0 	-13998.0 	-13565.0 	-12900.0 	-16769.0 	-11839.0 	-12802.0 	-6454.0 	230.0 	3197.0 	1890.0 	2989.0 	3817.0 	3512.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,RO	: 	: 	: 	: 	-2645.0 	-4404.0 	-9143.0 	-8741.0 	-14953.0 	-22452.0 	-29614.0 	-41713.0 	-60131.0 	-70018.0 	-34190.0 	-34156.0 	-32666.0 	-30269.0 	-4945.0 	-2941.0 	-4429.0 	-6858.0 	-18251.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,SE	117945.0 	119921.0 	134823.0 	123457.0 	129555.0 	132866.0 	160704.0 	157944.0 	148924.0 	198300.0 	184716.0 	220474.0 	211760.0 	200867.0 	166792.0 	169851.0 	186817.0 	192102.0 	186941.0 	172319.0 	209415.0 	196609.0 	156699.0 
MIO_NAC,GS,S1,S1,BAL,WRL_REST,SI	-305.0 	-193.0 	-160.0 	-296.0 	-879.0 	-764.0 	-198.0 	304.0 	-29.0 	-351.0 	-136.0 	14.0 	-428.0 	-703.0 	687.0 	462.0 	432.0 	1428.2 	2440.2 	2878.1 	3405.7 	3787.3 	4279.7 
