na_item,co_nco,sector,finpos,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,CO,S121_S122_S123,LIAB,PC_GDP,LU	: 	: 	: 	: 	2688.5 	2646.3 	3062.0 	2806.7 	2756.9 	2670.6 	2840.2 	2711.4 	2800.7 	2972.1 	2877.2 	2595.0 	2540.7 	2219.2 	2027.3 	2005.9 	2009.7 	2075.5 	1977.6 
F,CO,S121_S122_S123,LIAB,PC_GDP,LV	38.9 	46.3 	58.0 	52.8 	57.1 	69.1 	76.4 	83.7 	91.7 	108.3 	120.7 	136.5 	138.8 	138.1 	162.7 	169.8 	144.1 	135.9 	128.8 	147.4 	150.6 	154.4 	142.9 
F,CO,S121_S122_S123,LIAB,PC_GDP,MT	209.0 e	230.5 e	254.9 e	319.0 e	371.5 e	367.1 e	348.9 e	382.6 e	415.7 e	451.9 	548.0 	610.0 	709.4 	732.5 	720.2 	802.1 	787.7 	780.4 	695.5 	671.8 	540.1 	515.6 	507.9 
F,CO,S121_S122_S123,LIAB,PC_GDP,NL	171.4 	182.2 	192.4 	215.4 	220.6 	222.2 	234.9 	240.8 	253.0 	269.3 	292.0 	310.9 	331.4 	304.5 	315.6 	329.6 	341.2 	339.3 	312.8 	323.1 	322.6 	321.3 	301.4 p
F,CO,S121_S122_S123,LIAB,PC_GDP,PL	40.6 	41.8 	45.7 	52.5 	60.6 	58.1 	62.4 	59.0 	61.2 	64.0 	70.2 	78.4 	83.9 	86.2 	86.1 	90.1 	89.1 	90.3 	94.6 	97.5 	95.0 	102.9 	98.3 
F,CO,S121_S122_S123,LIAB,PC_GDP,PT	142.2 	149.4 	166.6 	173.0 	185.7 	203.4 	210.0 	204.4 	208.1 	208.8 	217.7 	231.7 	243.4 	251.4 	278.6 	295.5 	293.6 	293.8 	270.8 	256.9 	239.4 	238.5 	232.8 
F,CO,S121_S122_S123,LIAB,PC_GDP,RO	89.1 e	72.5 e	44.5 e	42.3 	40.5 	38.1 	40.4 	45.0 	42.7 	55.4 	68.6 	78.0 	82.9 	73.7 	88.7 	93.9 	92.7 	88.2 	80.8 	77.6 	75.7 	74.0 	71.1 
F,CO,S121_S122_S123,LIAB,PC_GDP,SE	139.7 	145.9 	148.4 	155.9 	150.7 	165.0 	160.9 	155.9 	161.9 	173.2 	194.2 	207.6 	219.9 	235.2 	247.4 	242.2 	247.7 	252.2 	263.6 	278.5 	260.2 	269.1 	276.6 
F,CO,S121_S122_S123,LIAB,PC_GDP,SI	56.5 	60.2 	62.7 	65.5 	67.8 	74.0 	79.9 	84.8 	85.6 	89.4 	101.5 	106.8 	134.9 	134.2 	147.1 	142.4 	138.0 	133.8 	114.4 	116.3 	109.2 	110.0 	107.8 
F,CO,S121_S122_S123,LIAB,PC_GDP,SK	207.6 	198.6 	187.2 	174.6 	168.9 	160.9 	157.6 	141.9 	133.6 	127.3 	133.7 	112.4 	98.7 	101.7 	115.8 	112.2 	106.6 	99.1 	99.0 	105.8 	112.1 	117.7 	133.3 
F,CO,S121_S122_S123,LIAB,PC_GDP,UK	199.8 	194.0 	218.7 	225.7 	222.6 	248.3 	259.7 	260.2 	274.4 	383.5 	423.9 	438.3 	548.1 	923.0 	689.7 	688.6 	745.0 	665.6 	545.5 	543.9 	477.0 	515.3 	470.3 
F,CO,S122_S123,LIAB,PC_GDP,AT	164.3 	169.0 	171.4 	170.5 	182.2 	189.4 	192.4 	186.5 	195.3 	207.0 	226.7 	233.7 	244.6 	259.3 	250.9 	241.9 	231.6 	223.2 	210.6 	202.0 	192.8 	182.4 	177.4 
