unit,co_nco,sector,finpos,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,S12,LIAB,F2,NL	119.7 	126.6 	133.6 	156.8 	157.2 	156.0 	168.2 	174.6 	181.5 	192.6 	207.5 	222.6 	241.8 	223.7 	225.0 	223.9 	249.0 	243.4 	212.2 	216.7 	229.3 	241.2 	232.2 p
PC_GDP,NCO,S12,LIAB,F2,PL	41.8 	43.6 	45.5 	50.8 	52.7 	52.3 	56.2 	51.9 	53.8 	52.7 	55.8 	59.7 	64.2 	71.1 	71.0 	72.0 	72.4 	73.1 	74.6 	78.1 	79.2 	87.0 	81.8 
PC_GDP,NCO,S12,LIAB,F2,PT	145.2 	154.2 	162.8 	167.9 	186.0 	188.8 	191.3 	191.1 	199.2 	190.6 	200.9 	204.5 	208.6 	217.5 	225.9 	251.7 	259.6 	270.2 	250.4 	228.2 	220.5 	219.8 	217.0 
PC_GDP,NCO,S12,LIAB,F2,RO	67.1 e	55.6 e	35.3 e	35.3 	34.5 	32.8 	35.3 	38.9 	36.3 	44.4 	49.5 	58.0 	66.8 	59.2 	66.8 	67.3 	67.3 	65.3 	69.2 	67.5 	66.0 	65.3 	62.6 
PC_GDP,NCO,S12,LIAB,F2,SE	85.9 	84.7 	93.9 	98.3 	93.4 	106.6 	106.3 	100.3 	96.0 	108.9 	117.4 	124.3 	123.9 	165.0 	153.1 	129.3 	127.9 	131.8 	133.1 	140.1 	135.6 	145.3 	149.5 
PC_GDP,NCO,S12,LIAB,F2,SI	41.3 	44.9 	47.0 	50.6 	51.2 	55.0 	64.0 	66.6 	65.1 	68.1 	73.0 	76.3 	93.9 	96.8 	104.1 	99.0 	100.1 	103.4 	91.2 	90.7 	87.5 	93.0 	94.2 
PC_GDP,NCO,S12,LIAB,F2,SK	185.1 	178.6 	166.6 	154.7 	154.2 	144.2 	141.8 	132.2 	123.1 	113.6 	120.3 	91.7 	98.4 	101.6 	102.2 	98.2 	93.5 	86.5 	87.2 	91.3 	93.4 	100.7 	115.2 
PC_GDP,NCO,S12,LIAB,F2,UK	199.0 	194.1 	217.2 	222.8 	215.4 	240.6 	254.2 	259.8 	284.4 	307.0 	340.4 	367.2 	386.6 	433.2 	434.9 	420.9 	428.0 	417.2 	389.1 	352.9 	336.7 	362.4 	374.0 
PC_GDP,NCO,S12,LIAB,F3,AT	40.7 	41.8 	43.9 	42.3 	47.8 	54.9 	59.3 	60.5 	62.2 	66.2 	72.7 	75.7 	79.7 	92.6 	89.2 	85.7 	81.3 	73.3 	66.7 	59.3 	50.0 	44.1 	39.5 
PC_GDP,NCO,S12,LIAB,F3,BE	47.9 	49.1 	44.0 	38.2 	36.8 	37.5 	33.5 	31.8 	29.4 	25.3 	21.5 	21.0 	25.8 	37.8 	48.4 	42.7 	43.6 	41.7 	40.6 	41.9 	40.7 	42.4 	41.6 
PC_GDP,NCO,S12,LIAB,F3,BG	5.7 	3.3 	0.8 	0.2 	0.1 	0.0 	0.0 	0.1 	0.5 	1.1 	2.0 	3.0 	2.4 	1.4 	1.6 	0.9 	0.7 	0.9 	1.1 	1.2 	0.9 	1.1 	1.2 
PC_GDP,NCO,S12,LIAB,F3,CY	0.1 	1.6 	1.8 	1.8 	5.9 	2.2 	12.7 	6.0 	14.6 	29.0 	39.8 	53.2 	48.4 	54.5 	53.0 	33.6 	30.7 	27.4 	33.3 	38.6 	35.8 	53.6 	54.8 
PC_GDP,NCO,S12,LIAB,F3,CZ	4.7 	4.7 	6.5 	6.0 	7.4 	4.8 	6.5 	4.0 	2.6 	3.0 	4.9 	5.5 	7.1 	6.9 	7.2 	6.7 	6.5 	6.6 	8.0 	10.0 	12.4 	14.7 	15.8 
PC_GDP,NCO,S12,LIAB,F3,DE	44.8 	49.7 	52.8 	60.4 	63.2 	67.4 	69.7 	72.1 	72.4 	75.3 	75.8 	71.9 	68.1 	71.2 	72.4 	65.9 	62.1 	57.2 	48.5 	46.8 	43.2 	41.8 	38.7 
PC_GDP,NCO,S12,LIAB,F3,DK	95.4 	97.4 	105.1 	118.4 	118.1 	109.3 	126.8 	133.3 	142.3 	146.7 	160.9 	161.1 	171.6 	171.7 	198.4 	191.2 	190.3 	187.4 	181.2 	179.8 	174.3 	183.1 	180.2 
PC_GDP,NCO,S12,LIAB,F3,EE	0.8 	1.6 	6.7 	8.1 	5.0 	8.2 	9.3 	11.8 	12.8 	18.4 	14.0 	9.4 	7.3 	6.2 	0.8 	0.7 	0.3 	0.2 	0.7 	0.7 	0.8 	0.7 	1.1 
PC_GDP,NCO,S12,LIAB,F3,EL	9.2 	6.6 	0.8 	0.7 	0.5 	0.3 	0.3 	0.4 	1.3 	1.7 	2.4 	2.8 	3.1 	4.0 	4.2 	4.1 	3.5 	1.7 	1.3 	1.0 	27.3 	4.9 	5.2 
PC_GDP,NCO,S12,LIAB,F3,ES	5.1 	5.5 	6.0 	6.9 	11.7 	11.4 	13.9 	17.3 	25.2 	37.3 	54.3 	72.6 	87.5 	89.5 	98.5 	94.3 	95.4 	101.9 	86.8 	80.4 	70.1 	63.7 	59.2 
PC_GDP,NCO,S12,LIAB,F3,FI	41.1 	36.1 	31.5 	27.9 	27.0 	19.0 	19.0 	21.5 	22.9 	26.5 	29.8 	33.0 	33.2 	36.0 	37.1 	37.6 	43.1 	46.4 	45.4 	50.5 	48.8 	47.8 	44.2 
PC_GDP,NCO,S12,LIAB,F3,FR	45.8 	43.1 	41.4 	37.6 	39.1 	38.6 	40.8 	40.3 	41.4 	44.1 	46.6 	51.9 	60.4 	66.2 	67.7 	70.3 	74.8 	74.6 	70.5 	73.8 	68.0 	67.6 	65.1 
PC_GDP,NCO,S12,LIAB,F3,HR	: 	: 	: 	: 	: 	: 	3.3 	3.0 	2.2 	1.4 	1.3 	1.2 	1.1 	1.2 	0.1 	0.1 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 	0.2 
