unit,nace_r2,s_adj,na_item,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
THS_PER,TOTAL,NSA,SELF_DC,FR	2568.20 	2548.00 	2528.30 	2509.00 	2490.10 	2472.80 	2457.10 	2443.00 	2430.60 	2417.90 	2404.90 	2391.70 	2378.20 	2367.40 	2359.20 	2353.70 	2350.90 	2348.30 	2345.90 	2343.70 	2341.80 	2337.80 	2331.90 	2323.90 	2313.90 	2306.20 	2300.90 	2297.90 	2297.30 	2296.50 	2295.50 	2294.30 	2292.90 	2293.20 	2295.30 	2299.20 	2304.70 	2311.60 	2319.70 	2329.10 	2339.80 	2349.40 	2358.00 	2365.40 	2371.80 	2378.00 	2384.00 	2389.80 	2395.40 	2401.10 	2406.80 	2412.70 	2418.60 	2423.00 	2425.80 	2427.00 	2426.70 	2431.00 	2439.90 	2453.30 	2471.40 	2491.70 	2514.40 	2539.40 	2566.60 	2591.80 	2614.90 	2635.90 	2654.80 	2676.90 	2702.30 	2730.90 	2762.70 	2789.70 	2811.80 	2829.00 	2841.30 	2850.00 	2854.90 	2856.20 	2853.80 	2852.10 	2851.10 	2850.80 	2851.20 	2851.30 	2851.30 	2851.10 	2850.70 	2850.00 	2848.90 	2847.40 	2845.50 	2843.60 
THS_PER,TOTAL,NSA,SELF_DC,HR	327.83 p	394.37 p	418.79 p	356.80 p	327.92 p	394.38 p	418.84 p	356.86 p	328.48 p	395.18 p	419.73 p	357.41 p	327.07 p	393.54 p	417.79 p	356.12 p	328.20 p	394.41 p	418.98 p	357.05 p	334.91 p	402.69 p	427.26 p	362.09 p	322.85 p	388.60 p	411.98 p	352.26 p	331.57 p	397.02 p	422.57 p	359.85 p	336.12 p	407.21 p	432.69 p	365.05 p	341.43 p	400.12 p	419.34 p	367.85 p	342.57 p	412.97 p	434.99 p	367.05 p	343.71 p	410.75 p	435.91 p	364.65 p	339.54 p	406.76 p	431.31 p	361.85 p	338.01 d	396.12 d	415.67 d	365.83 d	361.35 d	392.87 d	383.00 d	366.80 d	382.76 d	371.28 d	386.43 d	374.94 d	358.98 d	347.89 d	388.31 d	359.06 d	302.84 d	318.72 d	343.15 d	309.79 d	270.66 d	290.38 d	283.69 d	297.21 d	254.84 d	258.43 d	255.10 d	246.90 d	261.90 d	268.02 d	259.37 d	241.67 d	227.50 d	237.23 d	233.37 d	223.40 d	198.57 d	213.65 d	219.61 d	209.91 d	210.46 d	218.40 d
THS_PER,TOTAL,NSA,SELF_DC,HU	605.78 	690.12 	793.74 	687.83 	629.74 	722.87 	841.49 	741.93 	637.90 	719.82 	822.25 	719.54 	611.42 	687.11 	796.68 	695.20 	650.30 	731.24 	826.07 	723.31 	612.94 	690.80 	783.64 	673.49 	570.30 	645.42 	729.28 	633.84 	561.27 	621.72 	705.17 	624.54 	524.24 	577.09 	642.52 	584.82 	515.97 	572.90 	625.27 	563.25 	497.74 	533.78 	573.42 	519.66 	468.88 	508.19 	556.29 	510.23 	458.35 	483.64 	527.30 	478.68 	434.58 	470.58 	511.66 	461.36 	429.40 	448.91 	478.72 	437.37 	402.45 	425.96 	476.36 	432.05 	381.39 	414.71 	480.23 	426.95 	387.34 	423.74 	463.91 	435.52 	359.26 	404.02 	439.24 	383.73 	362.57 	410.87 	450.26 	390.70 	364.30 	396.75 	437.88 	381.86 	370.00 	406.18 	429.14 	388.94 	374.09 	417.18 	433.84 	400.32 	395.46 	444.32 
THS_PER,TOTAL,NSA,SELF_DC,IE	247.61 e	247.61 e	247.61 e	247.61 e	247.54 e	247.54 e	247.54 e	247.54 e	255.49 e	255.49 e	255.49 e	255.49 e	306.20 	300.90 	300.00 	302.10 	310.10 	308.40 	312.50 	317.40 	318.30 	314.60 	313.30 	311.40 	313.70 	315.60 	319.40 	319.90 	319.50 	317.90 	319.10 	312.60 	315.90 	313.20 	318.20 	324.00 	333.40 	329.30 	329.00 	329.00 	332.90 	341.90 	336.10 	319.10 	328.20 	328.30 	340.60 	339.70 	344.10 	355.65 	369.30 	380.90 	375.00 	367.90 	367.30 	376.90 	349.10 	345.80 	347.30 	339.60 	334.50 	334.73 	329.34 	319.37 	317.04 b	320.13 	314.74 	308.26 	314.18 	318.59 	306.80 	314.12 	322.53 	322.80 	325.15 	335.61 	330.40 	327.46 	330.43 	331.13 	329.13 	340.50 	337.58 	336.58 	342.57 	348.46 	345.28 	337.98 	327.59 	335.23 	338.05 	347.37 	352.77 	341.91 
THS_PER,TOTAL,NSA,SELF_DC,IT	5901.70 	5986.40 	6161.10 	6106.60 	5964.90 	6058.20 	6238.70 	6146.30 	5984.40 	6049.00 	6239.60 	6172.20 	6032.50 	6110.00 	6338.30 	6276.00 	6121.70 	6146.10 	6297.30 	6269.80 	6160.80 	6276.20 	6492.10 	6497.50 	6314.60 	6361.40 	6543.80 	6485.80 	6369.30 	6398.70 	6537.90 	6505.30 	6471.10 	6616.10 	6630.00 	6664.20 	6602.00 	6695.90 	6730.60 	6765.40 	6578.00 	6606.80 	6456.60 	6523.00 	6591.50 	6661.20 	6588.90 	6664.30 	6597.80 	6726.80 	6676.70 	6619.50 	6701.80 	6659.90 	6488.20 	6467.90 	6448.60 	6442.30 	6313.60 	6321.90 	6416.70 	6529.70 	6384.60 	6363.00 	6483.60 	6545.90 	6352.60 	6286.90 	6395.60 	6469.40 	6353.10 	6265.30 	6250.00 	6263.90 	6217.60 	6234.90 	6231.40 	6242.20 	6203.20 	6246.10 	6245.10 	6222.70 	6194.50 	6133.30 	6147.20 	6254.50 	6126.40 	6096.90 	6105.30 	6062.20 	5991.60 	6008.60 	5956.00 	6081.10 
THS_PER,TOTAL,NSA,SELF_DC,LT	258.20 	286.60 	290.60 	275.00 	307.10 	369.70 	360.80 	339.40 	317.10 	369.60 	384.60 	345.50 	286.50 	287.40 	321.01 	319.80 	306.92 	302.70 	279.45 	279.60 	276.70 	275.40 	278.61 	270.70 	312.30 	281.80 	232.60 	243.60 	270.60 	295.90 	294.10 	267.50 	285.70 	307.90 	284.10 	293.70 	269.94 	269.13 	267.33 	246.40 	243.59 	251.74 	245.98 	243.27 	248.33 	264.15 	240.07 	218.49 	215.00 	220.67 	227.42 	182.80 	157.13 	166.44 	174.87 	167.40 	153.99 	163.19 	163.98 	149.96 	133.93 	136.16 	138.09 	134.56 	132.36 	132.71 	132.79 	133.14 	135.32 	146.32 	144.19 	138.23 	146.33 	157.90 	149.89 	154.66 	163.38 	162.80 	156.55 	155.78 	157.92 	167.53 	163.17 	166.28 	173.37 	168.13 	167.69 	162.48 	161.50 	169.79 	161.55 	156.79 	163.15 	164.92 
THS_PER,TOTAL,NSA,SELF_DC,LU	17.46 	17.55 	17.55 	17.56 	17.85 	17.91 	17.95 	17.96 	18.07 	18.11 	18.14 	18.19 	18.18 	18.19 	18.20 	18.25 	18.26 	18.31 	18.38 	18.39 	18.29 	18.33 	18.36 	18.38 	19.06 	19.10 	19.08 	19.08 	19.04 	19.11 	19.18 	19.31 	19.32 	19.42 	19.52 	19.65 	19.76 	19.90 	20.07 	20.22 	20.35 	20.46 	20.51 	20.55 	20.30 	20.38 	20.47 	20.50 	20.60 	20.73 	20.83 	21.00 	21.20 	21.35 	21.48 	21.55 	21.54 	21.72 	21.80 	21.91 	21.93 	22.06 	22.24 	22.37 	22.56 	22.74 	22.83 	22.88 	23.08 	23.10 	23.22 	23.33 	23.51 	23.67 	23.76 	23.88 	24.27 	24.38 	24.51 	24.69 	24.90 	25.05 	25.17 	25.35 	25.52 	25.71 	25.90 	26.03 	26.11 	26.18 	26.34 	26.48 	26.64 	26.78 
THS_PER,TOTAL,NSA,SELF_DC,LV	140.00 e	141.80 e	141.60 e	142.00 e	140.80 e	142.60 e	142.40 e	142.70 e	147.10 e	148.90 e	148.70 e	149.10 e	146.60 e	148.30 e	148.20 e	148.50 e	143.90 e	145.70 e	145.50 e	145.90 e	142.70 	140.60 	139.50 	138.60 	142.50 	144.40 	143.60 	142.90 	147.00 	133.40 	141.80 	121.80 	120.60 	130.60 	134.10 	123.30 	121.70 	130.90 	127.50 	125.30 	117.30 	121.60 	111.70 	107.00 	106.50 	140.50 	128.60 	116.80 	114.90 	123.10 	127.80 	112.90 	112.10 	111.50 	115.30 	103.20 	111.10 	122.40 	103.90 	87.40 	99.70 	98.60 	98.40 	100.20 	95.30 	95.80 	103.70 	102.20 	97.70 	96.80 	108.60 	102.40 	100.50 	108.90 	108.40 	104.40 	102.70 	105.90 	106.00 	99.70 	99.00 	107.60 	122.30 	125.20 	112.00 	113.20 	113.10 	125.10 	118.00 	109.80 	106.70 	119.40 	103.00 	108.00 
THS_PER,TOTAL,NSA,SELF_DC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.43 	17.60 	17.36 	16.91 	16.06 	17.05 	16.62 	17.15 	17.21 	17.44 	17.19 	16.90 	17.04 	17.38 	17.92 	18.31 	18.26 	17.47 	18.29 	17.67 	18.38 	18.98 	18.44 	17.64 	18.45 	19.01 	18.37 	18.12 	18.78 	18.85 	19.45 	19.50 	20.00 	19.45 	19.60 	19.84 	20.42 	20.21 	20.16 	20.80 	20.36 	20.12 	20.72 	20.43 	20.70 	20.21 	20.28 	20.99 	21.54 	20.87 	22.50 	22.22 	20.78 	21.37 	22.57 	22.33 	21.14 	22.51 	23.08 	22.55 	22.87 	23.15 	23.03 	23.25 	23.56 	24.24 	23.86 	24.93 	24.70 	24.96 	25.03 	25.74 	25.99 	26.33 
THS_PER,TOTAL,NSA,SELF_DC,NL	1304.00 	1314.00 	1317.00 	1324.00 	1316.00 	1323.00 	1325.00 	1334.00 	1341.00 	1351.00 	1349.00 	1349.00 	1316.00 	1317.00 	1308.00 	1304.00 	1298.00 	1294.00 	1288.00 	1292.00 	1258.00 	1262.00 	1261.00 	1266.00 	1250.00 	1255.00 	1253.00 	1256.00 	1256.00 	1268.00 	1254.00 	1256.00 	1271.00 	1239.00 	1228.00 	1244.00 	1264.00 	1271.00 	1259.00 	1252.00 	1279.00 	1284.00 	1281.00 	1286.00 	1333.00 	1331.00 	1322.00 	1335.00 	1385.00 	1384.00 	1372.00 	1357.00 	1383.00 	1382.00 	1387.00 	1385.00 	1381.00 	1377.00 	1380.00 	1384.00 	1387.00 	1390.00 	1376.00 	1376.00 	1413.00 	1389.00 	1414.00 	1425.00 	1438.00 	1435.00 	1426.00 	1447.00 	1426.00 	1437.00 	1468.00 	1456.00 	1467.00 	1484.00 	1469.00 	1500.00 	1477.00 	1492.00 	1507.00 	1491.00 	1487.00 p	1479.00 p	1481.00 p	1496.00 p	1488.00 p	1495.00 p	1499.00 p	1494.00 p	1497.00 p	1500.00 p
THS_PER,TOTAL,NSA,SELF_DC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3828.20 	3977.00 	4128.00 	3994.00 	3855.80 	3989.10 	4170.00 	3937.90 	3825.20 	3901.00 	4022.00 	3799.00 	3563.20 	3684.00 	3837.00 	3777.00 	3470.00 	3625.00 	3885.00 	3753.00 	3466.00 	3548.00 	3799.90 	3679.20 	3502.00 	3568.00 	3632.00 	3524.00 	3520.00 	3598.00 	3612.00 	3524.00 	3530.10 	3633.90 	3636.70 	3521.30 	3564.10 	3610.40 	3622.20 	3488.50 	3432.30 b	3495.90 	3543.50 	3503.90 	3477.00 	3512.30 	3551.20 	3473.50 	3399.00 	3445.30 	3458.90 	3376.40 	3321.70 	3382.00 	3404.20 	3345.30 	3332.00 	3323.60 	3396.00 	3384.80 	3316.00 	3379.20 	3463.40 	3421.00 	3304.00 p	3338.00 p	3325.00 p	3323.00 p	3326.00 p	3298.00 p	3353.00 p	3285.00 p	3207.00 p	3371.00 p
THS_PER,TOTAL,NSA,SELF_DC,PT	925.66 	925.57 	939.59 	955.87 	975.31 	963.25 	966.80 	967.09 	985.33 	985.86 	1002.66 	986.93 	1011.69 	1025.74 	993.23 	976.87 	974.04 	989.97 	1003.42 	998.08 	998.29 	1002.52 	1023.98 	1028.21 	1026.50 	1057.36 	1038.47 	1034.98 	1025.68 	1040.41 	1021.87 	980.24 	1013.39 	1023.15 	1010.67 	1000.71 	987.65 	950.98 	961.26 	948.11 	942.67 	944.26 	932.08 	931.59 	917.70 	948.11 	916.63 	894.59 	887.77 	887.26 	903.44 	901.56 	895.90 	890.80 	896.44 	874.14 	863.73 	854.28 	832.42 	849.62 	830.25 	791.75 	800.58 	797.96 	799.20 	799.54 	803.57 	763.43 	786.93 	815.28 	797.54 	744.74 	701.86 	743.72 	773.09 	737.73 	713.10 	752.91 	747.23 	690.92 	692.44 	729.21 	693.29 	683.11 	652.52 	690.37 	702.47 	682.05 	669.21 	718.23 	693.68 	679.76 	679.31 	699.51 
THS_PER,TOTAL,NSA,SELF_DC,RO	4143.23 	5218.33 	5286.03 	4813.63 	3848.53 	4847.93 	4912.73 	4472.43 	4125.70 	4877.70 	5048.70 	4516.70 	4274.80 	4982.90 	5155.60 	4637.50 	4393.18 	5106.88 	5281.58 	4756.38 	4574.95 	5092.85 	5177.35 	4714.05 	4565.48 	5060.98 	5199.98 	4657.58 	3061.70 	3597.00 	3775.90 	3310.60 	3324.95 	3912.85 	3990.95 	3448.45 	2875.73 	3102.93 	3093.63 	2939.33 	2933.13 	3180.13 	3244.62 	3062.54 	2814.81 	2950.17 	3086.73 	2824.70 	2700.66 	2985.96 	3250.16 	2776.46 	2770.75 	2815.60 	3093.17 	2732.37 	2796.74 	2954.42 	3172.29 	2833.84 	2843.70 	3352.10 	3402.80 	2919.20 	2869.48 	2982.48 	3021.48 	2900.98 	2543.38 b	2790.68 	2875.48 	2744.88 	2564.50 	2730.10 	2786.90 	2606.50 	2497.70 	2709.70 	2771.00 	2593.80 	2177.90 	2471.90 	2539.90 	2243.50 	2033.30 	2280.30 	2287.40 	1973.00 	1914.40 p	2477.10 p	2311.30 p	1994.00 p	1946.90 p	2210.10 p
THS_PER,TOTAL,NSA,SELF_DC,SE	288.10 	280.40 	289.40 	266.90 	283.60 	276.20 	286.30 	260.90 	278.70 	271.20 	285.90 	265.30 	274.90 	269.80 	287.80 	267.90 	282.10 	277.50 	295.70 	265.40 	283.10 	274.20 	292.80 	261.20 	275.90 	262.00 	286.60 	246.10 	265.90 	255.20 	279.20 	236.10 	248.60 	234.70 	256.90 	220.50 	249.40 	237.90 	266.70 	230.30 	244.40 	229.50 	272.20 	236.90 	250.10 	233.90 	278.10 	246.70 	258.70 	249.00 	277.50 	240.70 	247.60 	230.70 	259.40 	240.60 	249.50 	234.40 	265.30 	241.50 	259.00 	241.40 	271.40 	242.00 	251.50 	230.80 	259.50 	230.20 	243.60 	222.10 	249.80 	232.50 	242.50 	226.10 	244.40 	228.00 	232.00 	219.30 	246.90 	225.90 	236.20 	216.40 	237.40 	210.40 	214.80 	198.60 	220.60 	202.00 	210.40 	193.60 	218.60 	194.90 	201.70 	186.80 
THS_PER,TOTAL,NSA,SELF_DC,SI	182.27 	178.49 	174.40 	172.02 	171.50 	169.05 	167.48 	167.58 	170.16 	169.74 	169.24 	168.58 	169.67 	168.27 	167.16 	166.08 	171.08 	170.44 	169.84 	169.07 	167.63 	167.16 	166.80 	165.99 	164.79 	164.01 	163.44 	162.73 	168.65 	168.34 	166.29 	167.68 	164.60 	164.30 	162.41 	164.02 	162.02 	162.40 	161.21 	163.53 	159.49 	159.63 	158.34 	160.48 	160.85 	161.56 	160.63 	163.31 	164.17 	165.04 	163.99 	167.08 	166.76 	167.78 	166.60 	170.61 	169.94 	171.63 	171.75 	175.71 	173.19 	172.85 	171.83 	175.92 	172.53 	174.01 	172.27 	174.50 	175.08 	175.22 	172.56 	176.05 	182.73 	184.22 	183.27 	189.20 	182.51 	184.17 	183.13 	187.65 	184.68 	186.69 	185.48 	188.72 	185.30 	186.85 	185.97 	189.46 	188.52 	189.75 	188.95 	192.36 	190.81 	191.51 
THS_PER,TOTAL,NSA,SELF_DC,SK	163.02 	165.89 	167.47 	168.91 	169.81 	171.36 	171.75 	171.87 	174.54 	177.94 	180.89 	183.58 	187.13 	191.57 	194.38 	195.28 	197.21 	200.47 	202.93 	204.85 	200.08 	200.74 	203.16 	204.91 	205.18 	207.60 	209.91 	212.01 	212.87 	215.66 	218.39 	222.78 	223.15 	231.92 	239.98 	246.74 	256.17 	268.24 	279.51 	286.94 	286.02 	285.56 	286.38 	287.56 	292.51 	298.37 	300.15 	300.73 	305.14 	312.46 	318.51 	324.19 	332.28 	342.85 	352.91 	361.76 	365.27 	365.35 	364.68 	367.00 	361.12 	360.44 	361.36 	361.58 	355.07 	353.77 	354.15 	353.49 	346.71 	345.56 	346.23 	342.56 	340.52 	338.45 	333.51 	338.08 	336.00 	327.50 	320.80 	326.20 	328.80 	324.40 	318.90 	325.00 	327.00 	322.00 	318.40 	325.60 	327.30 	321.60 	317.00 	324.10 	324.20 	320.70 
THS_PER,TOTAL,NSA,SELF_DC,UK	3693.07 	3686.53 	3676.09 	3669.33 	3604.61 	3603.73 	3644.72 	3652.70 	3586.48 	3564.99 	3573.43 	3542.05 	3494.00 	3447.90 	3406.97 	3432.04 	3398.83 	3409.27 	3409.83 	3398.56 	3380.23 	3351.04 	3386.25 	3339.75 	3370.70 	3358.62 	3428.22 	3422.00 	3406.08 	3416.38 	3468.32 	3452.19 	3502.81 	3625.85 	3773.98 	3756.64 	3714.01 	3749.10 	3688.50 	3736.14 	3710.27 	3697.40 	3763.82 	3790.78 	3814.78 	3781.12 	3878.35 	3909.44 	3931.99 	3876.62 	3928.36 	3958.13 	3996.83 	3941.70 	3907.87 	3938.10 	3941.81 	3910.39 	3961.68 	4014.60 	4053.74 	4010.39 	4155.47 	4114.61 	4088.55 	4077.16 	4233.74 	4235.08 	4288.74 	4312.98 	4350.95 	4372.38 	4293.84 	4298.89 	4363.72 	4531.69 	4708.75 	4715.48 	4655.93 	4613.52 	4647.56 	4619.36 	4670.16 	4770.82 	4811.19 	4904.41 	4911.12 	4923.10 	4906.95 	4923.90 	4909.32 	4909.21 	4848.63 	4890.13 
