sitc06,partner,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,UMIC_X_CN,MIO_EUR,AT	1302 	1522 	1798 	1157 	1479 	1547 	3434 	3743 	5379 	4144 	4929 	5928 	6090 	6019 	6831 	6349 	5680 	6429 
TOTAL,UMIC_X_CN,MIO_EUR,BE	4796 	5228 	5121 	4080 	4314 	4885 	7393 	9031 	12122 	8996 	10902 	18323 	18874 	17577 	20257 	21146 	22342 	23573 
TOTAL,UMIC_X_CN,MIO_EUR,BG	411 	490 	593 	255 	421 	552 	1646 	2009 	2275 	1660 	1692 	2111 	2281 	2432 	2622 	2621 	2693 	3337 
TOTAL,UMIC_X_CN,MIO_EUR,CY	76 	81 	89 	88 	133 	172 	103 	162 	231 	156 	217 	182 	226 	113 	133 	246 	293 	328 
TOTAL,UMIC_X_CN,MIO_EUR,CZ	524 	817 	1026 	1040 	600 	363 	814 	846 	1579 	1189 	1674 	4429 	4263 	4018 	4754 	4357 	3815 	4998 
TOTAL,UMIC_X_CN,MIO_EUR,DE	17747 	17361 	16552 	10828 	11805 	13633 	28177 	29630 	43195 	31581 	39812 	56074 	56730 	55282 	55514 	55603 	55636 	63264 
TOTAL,UMIC_X_CN,MIO_EUR,DK	1026 	1234 	1291 	787 	929 	1067 	1619 	1655 	2299 	1752 	2026 	3139 	3246 	2730 	2801 	2829 	2547 	2740 
TOTAL,UMIC_X_CN,MIO_EUR,EE	33 	64 	76 	58 	48 	48 	99 	86 	458 	237 	253 	364 	456 	241 	238 	221 	228 	283 
TOTAL,UMIC_X_CN,MIO_EUR,EL	1933 	2311 	2030 	1629 	2073 	2445 	4670 	4739 	5733 	3748 	4890 	7303 	7833 	6165 	10251 	7827 	7587 	9391 
TOTAL,UMIC_X_CN,MIO_EUR,ES	8569 	8839 	9345 	7696 	8945 	11681 	20084 	20370 	22985 	15501 	19077 	33816 	37385 	37154 	36442 	32007 	29790 	37344 
