unit,indic,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,INV_HH,LU	4.37 	3.72 	3.56 	4.73 	4.83 	3.68 	4.79 	5.01 	5.88 	5.03 	3.70 	4.14 	4.01 	4.42 	4.34 	3.83 	4.14 	: 
PC,INV_HH,LV	2.64 	2.52 	2.32 	2.88 	4.03 	5.50 	6.63 	7.68 	6.82 	3.09 	2.43 	2.72 	3.56 	2.60 	3.10 	3.63 	2.84 	: 
PC,INV_HH,NL	6.88 	6.92 	6.78 	6.92 	7.11 	7.38 	7.44 	7.77 	7.57 	6.71 	5.28 	5.08 	4.59 	4.07 	4.49 	5.00 	5.72 p	5.90 p
PC,INV_HH,NO	4.18 	4.51 	4.44 	4.34 	4.90 	5.07 	5.08 	5.39 	4.67 	4.64 	4.49 	4.99 	5.32 	5.67 	5.59 	5.82 	6.45 	6.72 
PC,INV_HH,PL	4.96 	4.67 	4.78 	5.02 	5.09 	5.25 	5.24 	5.61 	5.83 	5.39 	4.99 	4.79 	4.97 	4.56 	4.79 	4.61 	4.43 	: 
PC,INV_HH,PT	9.06 	8.72 	8.30 	7.09 	6.91 	6.81 	6.30 	5.87 	5.33 	4.71 	4.54 	4.18 	3.73 	3.18 	3.27 	3.23 	3.20 p	3.33 e
PC,INV_HH,RO	1.95 	1.94 	0.75 	0.99 	0.91 	0.99 	0.88 	2.05 	1.96 	2.04 	5.76 	5.52 	5.85 	5.56 b	5.47 	5.44 	5.32 p	: 
PC,INV_HH,SE	2.08 	2.12 	2.31 	2.49 	2.77 	2.86 	3.08 	3.26 	3.06 	2.79 	3.01 	2.83 	2.43 	2.44 	2.45 	2.97 	3.00 	3.13 
PC,INV_HH,SI	6.07 	5.98 	5.27 	5.22 	5.48 	5.77 	6.26 	6.23 	6.41 	5.03 	4.45 	4.03 	3.67 	3.49 	3.51 	3.56 	3.39 	: 
PC,INV_HH,SK	6.63 	5.73 	6.23 	5.52 	4.94 	5.50 	5.51 	5.37 	5.15 	5.40 	4.81 	4.72 	4.59 	4.47 	4.38 	4.45 	4.53 	: 
PC,INV_HH,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.62 	6.15 	7.88 	7.38 	8.48 	8.67 	8.43 	: 	: 
PC,INV_HH,UK	4.56 	4.62 	5.04 	5.65 	5.83 	5.65 	5.60 	5.87 	4.91 	3.97 	4.06 	4.14 	4.12 	4.41 	4.79 	4.86 	4.93 	: 
PC,INV_TOT,AT	25.61 	24.80 	23.53 	24.11 	23.59 	23.05 	22.60 	22.92 	23.28 	22.41 	21.60 	22.47 	22.65 	23.04 	22.65 	22.52 	23.08 	: 
PC,INV_TOT,BE	22.49 	22.42 	20.66 	20.44 	21.35 	22.16 	22.35 	23.24 	23.97 	22.59 	21.82 	22.58 	22.62 	22.16 	23.06 	23.19 	23.44 	: 
PC,INV_TOT,BG	16.85 	19.41 	19.12 	19.96 	21.11 	25.87 	27.64 	28.30 	33.02 	27.86 	22.21 	20.92 	21.26 	21.13 	21.11 	21.01 	18.57 	: 
PC,INV_TOT,CH	25.30 	24.63 	24.55 	23.88 	24.44 	24.39 	24.29 	24.38 	24.06 	22.67 	22.83 	23.41 	23.83 	23.60 	23.88 	23.79 	24.06 	: 
PC,INV_TOT,CY	20.08 	19.02 	20.95 	20.29 	20.65 	21.53 	25.08 	25.55 	27.19 	23.44 	22.26 	18.85 	15.06 	14.13 	11.65 	12.97 	17.41 	: 
PC,INV_TOT,CZ	30.59 	30.50 	29.25 	28.74 	28.11 	28.23 	27.98 	29.49 	28.96 	27.05 	26.91 	26.45 	25.91 	25.06 	25.13 	26.47 	24.93 	24.70 
PC,INV_TOT,DE	22.99 	21.68 	20.04 	19.51 	19.16 	19.07 	19.82 	20.12 	20.33 	19.16 	19.44 	20.27 	20.11 	19.70 	20.00 	19.85 	20.04 	: 
PC,INV_TOT,DK	21.51 	21.30 	20.64 	20.70 	20.66 	21.17 	23.27 	23.51 	22.94 	20.17 	18.11 	18.16 	18.78 	19.05 	19.16 	19.48 	20.41 	20.53 
PC,INV_TOT,EA19	23.10 	22.63 	21.97 	21.85 	22.00 	22.37 	23.09 	23.56 	23.28 	21.38 	20.94 	21.05 	20.51 	19.88 	19.87 	20.17 	20.55 	20.80 
PC,INV_TOT,EE	26.62 	27.21 	30.54 	32.70 	31.78 	32.90 	36.74 	36.57 	31.19 	22.73 	21.23 	26.20 	28.59 	27.75 	24.43 	23.62 	22.33 	: 
PC,INV_TOT,EL	24.64 	24.74 	23.60 	25.32 	24.40 	20.83 	23.69 	26.01 	23.81 	20.79 	17.56 	15.27 	12.63 	12.16 	11.54 	11.52 	11.74 	: 
PC,INV_TOT,ES	26.14 	26.23 	26.62 	27.65 	28.52 	29.89 	31.05 	31.05 	29.21 	24.33 	23.03 	21.48 	19.80 	18.76 	19.30 	19.83 	19.99 	: 
PC,INV_TOT,EU28	22.35 	21.94 	21.43 	21.24 	21.30 	21.88 	22.47 	22.92 	22.80 	20.85 	20.36 	20.48 	20.06 	19.60 	19.76 	20.04 	20.30 	20.63 
PC,INV_TOT,FI	23.09 	22.90 	21.63 	21.81 	22.30 	22.96 	22.79 	24.17 	24.39 	22.75 	21.88 	22.24 	22.33 	21.19 	20.55 	20.38 	21.68 	22.15 
PC,INV_TOT,FR	21.42 	21.42 	20.87 	20.95 	21.28 	21.72 	22.39 	23.13 	23.56 	22.04 	22.07 	22.41 	22.48 	22.06 	21.84 	21.57 	21.96 	: 
PC,INV_TOT,HR	: 	: 	22.30 	25.83 	25.69 	25.41 	26.58 	26.80 	28.10 	25.21 	21.27 	20.29 	19.62 	: 	: 	: 	: 	: 
PC,INV_TOT,HU	25.45 	24.82 	24.70 	23.68 	24.06 	23.87 	23.58 	23.66 	23.26 	22.81 	20.35 	19.77 	19.36 	20.94 	21.80 	21.67 	: 	: 
PC,INV_TOT,IE	23.77 	23.96 	23.60 	24.91 	26.97 	29.85 	30.97 	28.69 	24.78 	21.09 	17.56 	16.77 	19.68 	18.64 	20.78 	20.34 	31.82 	: 
