age,sex,hhtyp,indic_il,workint,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,RS	: 	: 	: 	: 	: 	: 	: 	14.7 	14.8 	14.1 	11.6 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,SE	9.2 	9.0 	9.3 b	9.0 	10.0 	9.1 	9.4 	10.3 	9.9 	10.8 	8.6 	7.1 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,SI	5.6 	5.4 	5.4 	5.3 	6.5 	6.3 	8.2 	8.3 	8.0 	8.5 	7.9 	7.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,SK	4.5 	3.1 	3.7 	4.3 	4.5 	3.9 	4.9 	4.2 	5.5 	4.2 	5.2 	5.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,TR	7.5 	7.2 	8.2 	8.9 	7.7 	7.1 	6.6 	5.7 	5.9 	5.3 	: 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-1,UK	6.5 	8.1 	7.0 	5.8 	6.8 	7.1 	8.4 b	7.2 	7.9 	8.0 	8.2 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,AT	11.2 	9.8 	11.4 b	11.9 	9.8 	8.4 	19.1 	8.9 	9.3 	9.1 	7.1 	11.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,BE	6.4 	6.6 	3.2 	6.6 	7.7 	10.5 	5.9 	7.2 	7.7 	9.4 	11.1 	6.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,BG	8.0 	9.3 	21.6 	20.5 	11.3 	10.1 	14.9 	7.8 	18.4 	17.6 	16.7 b	23.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,CH	: 	11.1 	11.0 	17.5 	15.3 	12.6 	14.3 	9.9 	13.3 b	12.2 	17.4 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,CY	11.0 	11.2 	8.9 b	12.0 	13.5 	12.4 	13.7 	15.5 	12.5 	15.8 	6.5 	14.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,CZ	5.4 	3.7 	6.3 	5.7 	9.9 	10.4 	15.7 	18.8 	10.8 	15.6 	13.1 	9.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,DE	9.5 	10.6 	12.7 	14.2 	13.6 	10.5 	16.7 	14.9 	10.7 	16.1 	9.9 	10.4 
