E1,E2,beta,pvalue,intercept,rvalue,stderr
RACE US Equity,TEN US Equity,0.21243005964111494,0.00010734855133202883,0.0017930557214797676,0.26786242995405596,0.05376020240558004
RACE US Equity,6995 JP Equity,-0.12301089017871798,0.023148249473488865,0.001413650829702,-0.15896474155080562,0.053753813691808816
RACE US Equity,FR FP Equity,0.2222091966741159,0.002044565635842134,0.0008926865439190109,0.21469682445789962,0.07112353739864961
000957 CH Equity,TA US Equity,-0.13433366236450836,0.03500615341179682,-0.004083246407949369,-0.1477066311438386,0.06328768030019037
000957 CH Equity,5110 JP Equity,0.3675889048558619,0.008675165691200032,-0.0047106923925621475,0.18332502231384804,0.13868887069119712
000957 CH Equity,6995 JP Equity,0.22553594664112597,0.014535406109053876,-0.004192223432670128,0.17088651198730068,0.09149485909061296
000957 CH Equity,5101 JP Equity,0.26582930197205623,0.01327032741720454,-0.004350653177174034,0.1731372891453342,0.10639658188500324
TA US Equity,CTB US Equity,0.223258829606823,0.010538619027123514,5.410078854853844e-05,0.17872446268699607,0.08647678810143952
TA US Equity,GT US Equity,0.33877543053135206,0.0032447024220818394,0.0008969213597599798,0.20515380640982314,0.11371543831988033
TA US Equity,FR FP Equity,0.3052942822016892,0.024655775706139926,-0.0006461597882713185,0.15729028224755698,0.13486561845997191
CTC/A CN Equity,BWA US Equity,0.11102018534340412,0.0029583294651848936,0.0009339767891837936,0.20709601824287846,0.03690079496625674
CTC/A CN Equity,5108 JP Equity,0.14204766615851047,0.004395187758361345,0.0008621332272591058,0.19865100450316803,0.049308850441247686
CTC/A CN Equity,CTB US Equity,0.10024977390877648,0.0001768451297932871,0.0009739510933646421,0.2596302011657308,0.026236046202546808
CTC/A CN Equity,CPS US Equity,0.09521805908127304,0.03232479874113211,0.0009006242360942118,0.14992914551311623,0.04417948794090007
CTC/A CN Equity,EO FP Equity,0.09554384528198911,0.027568092075621026,0.0006813359862492053,0.1542904834126038,0.04304830518665078
CTC/A CN Equity,GT US Equity,0.11060477900665418,0.0018519646649631386,0.0012408445986641062,0.21668957477954096,0.03506041375889018
CTC/A CN Equity,LEA US Equity,0.14668497358472074,0.0006632720583915631,0.0008954427176949399,0.23641545300474986,0.042417479591459514
CTC/A CN Equity,MG CN Equity,0.15426309243267985,0.0007367948684913911,0.0007391058169069944,0.2344704055741869,0.0450007391846552
CTC/A CN Equity,NRE1V FH Equity,0.15798096515151164,0.0022271021091975554,0.0008756032326947367,0.21296017673102263,0.05099790135989505
CTC/A CN Equity,5110 JP Equity,0.09747889341223306,0.041256457554128274,0.0007767667314521494,0.14303794312718637,0.04745639776672189
CTC/A CN Equity,6995 JP Equity,0.07952465668579997,0.011189586399503314,0.0009045725175500377,0.17728628154792664,0.031061068996217155
