currency,partner,sector10,sectpart,s_adj,stk_flow,bop_item,geotime,date,value
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2017-01-01,162
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2017-04-01,114
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2017-07-01,145
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2017-10-01,501
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2018-01-01,158
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LT,2018-04-01,125
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2016-01-01,640
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2016-04-01,196
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2016-07-01,2661
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2016-10-01,409
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2017-01-01,2539
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2017-04-01,360
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2017-07-01,398
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2017-10-01,157
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2018-01-01,2504
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LU,2018-04-01,897
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2016-01-01,235
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2016-04-01,0
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2016-07-01,118
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2016-10-01,50
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2017-01-01,245
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2017-04-01,158
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2017-07-01,157
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2017-10-01,261
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2018-01-01,201
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,LV,2018-04-01,35
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2016-01-01,270
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2016-04-01,368
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2016-07-01,263
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2016-10-01,267
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2017-01-01,290
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2017-04-01,276
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2017-07-01,251
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2017-10-01,376
