,coicop,unit,geo\time,date,value
428,CP07,I15,SI,2018-05-01,100.67 
429,CP07,I15,SI,2018-06-01,101.61 
430,CP07,I15,SI,2018-07-01,101.56 
431,CP07,I15,SI,2018-08-01,101.22 
432,CP07,I15,SI,2018-09-01,101.11 
433,CP07,I15,SK,2017-10-01,101.06 
434,CP07,I15,SK,2017-11-01,101.92 
435,CP07,I15,SK,2017-12-01,101.27 
436,CP07,I15,SK,2018-01-01,103.35 
437,CP07,I15,SK,2018-02-01,104.81 
438,CP07,I15,SK,2018-03-01,104.21 
439,CP07,I15,SK,2018-04-01,107.43 
440,CP07,I15,SK,2018-05-01,106.95 
441,CP07,I15,SK,2018-06-01,107.24 
442,CP07,I15,SK,2018-07-01,107.12 
443,CP07,I15,SK,2018-08-01,109.24 
444,CP07,I15,SK,2018-09-01,107.61 
445,CP07,I15,TR,2017-10-01,130.75 d
446,CP07,I15,TR,2017-11-01,133.38 d
447,CP07,I15,TR,2017-12-01,135.63 d
448,CP07,I15,TR,2018-01-01,137.40 d
449,CP07,I15,TR,2018-02-01,137.82 d
450,CP07,I15,TR,2018-03-01,138.86 d
451,CP07,I15,TR,2018-04-01,143.79 d
452,CP07,I15,TR,2018-05-01,147.12 d
453,CP07,I15,TR,2018-06-01,151.03 d
454,CP07,I15,TR,2018-07-01,152.68 d
455,CP07,I15,TR,2018-08-01,159.48 d
456,CP07,I15,TR,2018-09-01,174.07 d
457,CP07,I15,UK,2017-10-01,105.2 
458,CP07,I15,UK,2017-11-01,105.3 
459,CP07,I15,UK,2017-12-01,107.6 
460,CP07,I15,UK,2018-01-01,106.5 
461,CP07,I15,UK,2018-02-01,107.1 
462,CP07,I15,UK,2018-03-01,106.8 
463,CP07,I15,UK,2018-04-01,107.9 
464,CP07,I15,UK,2018-05-01,109.5 
465,CP07,I15,UK,2018-06-01,110.4 
466,CP07,I15,UK,2018-07-01,111.8 
467,CP07,I15,UK,2018-08-01,113.3 
468,CP07,I15,UK,2018-09-01,: 
469,CP07,I15,US,2017-10-01,99.09 d
470,CP07,I15,US,2017-11-01,99.68 d
471,CP07,I15,US,2017-12-01,99.01 d
472,CP07,I15,US,2018-01-01,100.16 d
473,CP07,I15,US,2018-02-01,101.02 d
