unit,nace_r2,tax,geotime,date,value
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2000-01-01,190741
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2001-01-01,194466
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2002-01-01,202711
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2003-01-01,208321
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2004-01-01,213698
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2005-01-01,218121
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2006-01-01,222243
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2007-01-01,224710
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2008-01-01,220774
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2009-01-01,219608
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2010-01-01,230626
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2011-01-01,240984
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2012-01-01,249859
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2013-01-01,254704
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2014-01-01,263558
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2015-01-01,275773
MIO_EUR,TOTAL_HH_NRES,NRG,EU28,2016-01-01,280059
MIO_EUR,TOTAL_HH_NRES,NRG,FI,1995-01-01,2134
MIO_EUR,TOTAL_HH_NRES,NRG,FI,1996-01-01,2153
MIO_EUR,TOTAL_HH_NRES,NRG,FI,1997-01-01,2510
MIO_EUR,TOTAL_HH_NRES,NRG,FI,1998-01-01,2541
MIO_EUR,TOTAL_HH_NRES,NRG,FI,1999-01-01,2710
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2000-01-01,2628
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2001-01-01,2720
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2002-01-01,2853
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2003-01-01,2882
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2004-01-01,2956
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2005-01-01,2927
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2006-01-01,2986
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2007-01-01,2961
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2008-01-01,3220
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2009-01-01,3100
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2010-01-01,3219
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2011-01-01,3920
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2012-01-01,4008
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2013-01-01,3975
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2014-01-01,3954
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2015-01-01,4120
MIO_EUR,TOTAL_HH_NRES,NRG,FI,2016-01-01,4551
MIO_EUR,TOTAL_HH_NRES,NRG,FR,1995-01-01,23940
MIO_EUR,TOTAL_HH_NRES,NRG,FR,1996-01-01,24914
MIO_EUR,TOTAL_HH_NRES,NRG,FR,1997-01-01,24989
MIO_EUR,TOTAL_HH_NRES,NRG,FR,1998-01-01,26221
MIO_EUR,TOTAL_HH_NRES,NRG,FR,1999-01-01,26909
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2000-01-01,26588
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2001-01-01,25210
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2002-01-01,27427
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2003-01-01,27365
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2004-01-01,28593
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2005-01-01,28382
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2006-01-01,28869
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2007-01-01,28548
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2008-01-01,28503
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2009-01-01,28387
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2010-01-01,29733
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2011-01-01,31045
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2012-01-01,31859
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2013-01-01,33795
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2014-01-01,34349
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2015-01-01,38263
MIO_EUR,TOTAL_HH_NRES,NRG,FR,2016-01-01,40899
MIO_EUR,TOTAL_HH_NRES,NRG,HR,1995-01-01,0
MIO_EUR,TOTAL_HH_NRES,NRG,HR,1996-01-01,0
MIO_EUR,TOTAL_HH_NRES,NRG,HR,1997-01-01,0
MIO_EUR,TOTAL_HH_NRES,NRG,HR,1998-01-01,0
MIO_EUR,TOTAL_HH_NRES,NRG,HR,1999-01-01,0
MIO_EUR,TOTAL_HH_NRES,NRG,HR,2000-01-01,0
