age,unit,indic_em,geo\time,date,value
Y20-64,PC_POP,EMP_LFS,HU,2006-01-01,14.5 
Y20-64,PC_POP,EMP_LFS,HU,2007-01-01,14.6 
Y20-64,PC_POP,EMP_LFS,HU,2008-01-01,13.9 
Y20-64,PC_POP,EMP_LFS,HU,2009-01-01,12.5 
Y20-64,PC_POP,EMP_LFS,HU,2010-01-01,10.9 
Y20-64,PC_POP,EMP_LFS,HU,2011-01-01,11.7 
Y20-64,PC_POP,EMP_LFS,HU,2012-01-01,11.1 
Y20-64,PC_POP,EMP_LFS,HU,2013-01-01,12.4 
Y20-64,PC_POP,EMP_LFS,HU,2014-01-01,13.3 
Y20-64,PC_POP,EMP_LFS,HU,2015-01-01,13.7 
Y20-64,PC_POP,EMP_LFS,HU,2016-01-01,14.0 
Y20-64,PC_POP,EMP_LFS,HU,2017-01-01,15.3 
Y20-64,PC_POP,EMP_LFS,IE,2000-01-01,25.2 
Y20-64,PC_POP,EMP_LFS,IE,2001-01-01,23.9 
Y20-64,PC_POP,EMP_LFS,IE,2002-01-01,22.1 
Y20-64,PC_POP,EMP_LFS,IE,2003-01-01,21.7 
Y20-64,PC_POP,EMP_LFS,IE,2004-01-01,21.3 
Y20-64,PC_POP,EMP_LFS,IE,2005-01-01,20.5 
Y20-64,PC_POP,EMP_LFS,IE,2006-01-01,19.9 
Y20-64,PC_POP,EMP_LFS,IE,2007-01-01,18.4 b
Y20-64,PC_POP,EMP_LFS,IE,2008-01-01,16.0 
Y20-64,PC_POP,EMP_LFS,IE,2009-01-01,10.2 
Y20-64,PC_POP,EMP_LFS,IE,2010-01-01,8.8 
Y20-64,PC_POP,EMP_LFS,IE,2011-01-01,8.7 
Y20-64,PC_POP,EMP_LFS,IE,2012-01-01,8.6 
Y20-64,PC_POP,EMP_LFS,IE,2013-01-01,10.5 
Y20-64,PC_POP,EMP_LFS,IE,2014-01-01,11.8 
Y20-64,PC_POP,EMP_LFS,IE,2015-01-01,12.3 
Y20-64,PC_POP,EMP_LFS,IE,2016-01-01,12.1 
Y20-64,PC_POP,EMP_LFS,IE,2017-01-01,12.1 
Y20-64,PC_POP,EMP_LFS,IS,2000-01-01,: 
Y20-64,PC_POP,EMP_LFS,IS,2001-01-01,: 
Y20-64,PC_POP,EMP_LFS,IS,2002-01-01,: 
Y20-64,PC_POP,EMP_LFS,IS,2003-01-01,7.1 b
