unit,indic,geotime,date,value
PC,INV_GOV,FI,2010-01-01,3
PC,INV_GOV,FI,2011-01-01,3
PC,INV_GOV,FI,2012-01-01,4
PC,INV_GOV,FI,2013-01-01,4
PC,INV_GOV,FI,2014-01-01,4
PC,INV_GOV,FI,2015-01-01,3
PC,INV_GOV,FI,2016-01-01,4
PC,INV_GOV,FI,2017-01-01,4
PC,INV_GOV,FR,2000-01-01,3
PC,INV_GOV,FR,2001-01-01,3
PC,INV_GOV,FR,2002-01-01,3
PC,INV_GOV,FR,2003-01-01,3
PC,INV_GOV,FR,2004-01-01,3
PC,INV_GOV,FR,2005-01-01,4
PC,INV_GOV,FR,2006-01-01,3
PC,INV_GOV,FR,2007-01-01,3
PC,INV_GOV,FR,2008-01-01,3
PC,INV_GOV,FR,2009-01-01,4
PC,INV_GOV,FR,2010-01-01,4
PC,INV_GOV,FR,2011-01-01,3
PC,INV_GOV,FR,2012-01-01,4
PC,INV_GOV,FR,2013-01-01,3
PC,INV_GOV,FR,2014-01-01,3
PC,INV_GOV,FR,2015-01-01,3
PC,INV_GOV,FR,2016-01-01,3
PC,INV_GOV,FR,2017-01-01,
PC,INV_GOV,HR,2000-01-01,
PC,INV_GOV,HR,2001-01-01,
PC,INV_GOV,HR,2002-01-01,5
PC,INV_GOV,HR,2003-01-01,7
PC,INV_GOV,HR,2004-01-01,6
PC,INV_GOV,HR,2005-01-01,5
PC,INV_GOV,HR,2006-01-01,5
PC,INV_GOV,HR,2007-01-01,6
PC,INV_GOV,HR,2008-01-01,5
PC,INV_GOV,HR,2009-01-01,5
PC,INV_GOV,HR,2010-01-01,3
PC,INV_GOV,HR,2011-01-01,3
PC,INV_GOV,HR,2012-01-01,3
PC,INV_GOV,HR,2013-01-01,
PC,INV_GOV,HR,2014-01-01,
PC,INV_GOV,HR,2015-01-01,
PC,INV_GOV,HR,2016-01-01,
PC,INV_GOV,HR,2017-01-01,
PC,INV_GOV,HU,2000-01-01,3
PC,INV_GOV,HU,2001-01-01,3
PC,INV_GOV,HU,2002-01-01,5
PC,INV_GOV,HU,2003-01-01,3
PC,INV_GOV,HU,2004-01-01,3
PC,INV_GOV,HU,2005-01-01,4
PC,INV_GOV,HU,2006-01-01,5
PC,INV_GOV,HU,2007-01-01,4
PC,INV_GOV,HU,2008-01-01,3
PC,INV_GOV,HU,2009-01-01,3
PC,INV_GOV,HU,2010-01-01,3
PC,INV_GOV,HU,2011-01-01,3
PC,INV_GOV,HU,2012-01-01,3
PC,INV_GOV,HU,2013-01-01,4
PC,INV_GOV,HU,2014-01-01,5
PC,INV_GOV,HU,2015-01-01,6
PC,INV_GOV,HU,2016-01-01,
PC,INV_GOV,HU,2017-01-01,
PC,INV_GOV,IE,2000-01-01,3
PC,INV_GOV,IE,2001-01-01,4
PC,INV_GOV,IE,2002-01-01,4
PC,INV_GOV,IE,2003-01-01,3
PC,INV_GOV,IE,2004-01-01,3
PC,INV_GOV,IE,2005-01-01,3
PC,INV_GOV,IE,2006-01-01,3
PC,INV_GOV,IE,2007-01-01,4
PC,INV_GOV,IE,2008-01-01,5
PC,INV_GOV,IE,2009-01-01,3
PC,INV_GOV,IE,2010-01-01,3
PC,INV_GOV,IE,2011-01-01,2
PC,INV_GOV,IE,2012-01-01,1
PC,INV_GOV,IE,2013-01-01,1
