waste,stk_flow,wst_oper,unit,geotime,date,value
W1501,DOM,RCY,PC,LU,2006-01-01,63
W1501,DOM,RCY,PC,LU,2007-01-01,62
W1501,DOM,RCY,PC,LU,2008-01-01,63
W1501,DOM,RCY,PC,LU,2009-01-01,61
W1501,DOM,RCY,PC,LU,2010-01-01,66
W1501,DOM,RCY,PC,LU,2011-01-01,66
W1501,DOM,RCY,PC,LU,2012-01-01,
W1501,DOM,RCY,PC,LU,2013-01-01,62
W1501,DOM,RCY,PC,LU,2014-01-01,64
W1501,DOM,RCY,PC,LU,2015-01-01,
W1501,DOM,RCY,PC,LU,2016-01-01,61
W1501,DOM,RCY,PC,LV,2000-01-01,
W1501,DOM,RCY,PC,LV,2001-01-01,
W1501,DOM,RCY,PC,LV,2002-01-01,
W1501,DOM,RCY,PC,LV,2003-01-01,
W1501,DOM,RCY,PC,LV,2004-01-01,45
W1501,DOM,RCY,PC,LV,2005-01-01,47
W1501,DOM,RCY,PC,LV,2006-01-01,42
W1501,DOM,RCY,PC,LV,2007-01-01,39
W1501,DOM,RCY,PC,LV,2008-01-01,46
W1501,DOM,RCY,PC,LV,2009-01-01,44
W1501,DOM,RCY,PC,LV,2010-01-01,48
W1501,DOM,RCY,PC,LV,2011-01-01,50
W1501,DOM,RCY,PC,LV,2012-01-01,
W1501,DOM,RCY,PC,LV,2013-01-01,51
W1501,DOM,RCY,PC,LV,2014-01-01,54
W1501,DOM,RCY,PC,LV,2015-01-01,
W1501,DOM,RCY,PC,LV,2016-01-01,57
W1501,DOM,RCY,PC,MT,2000-01-01,
W1501,DOM,RCY,PC,MT,2001-01-01,
W1501,DOM,RCY,PC,MT,2002-01-01,
W1501,DOM,RCY,PC,MT,2003-01-01,
W1501,DOM,RCY,PC,MT,2004-01-01,5
W1501,DOM,RCY,PC,MT,2005-01-01,8
W1501,DOM,RCY,PC,MT,2006-01-01,10
W1501,DOM,RCY,PC,MT,2007-01-01,10
W1501,DOM,RCY,PC,MT,2008-01-01,45
W1501,DOM,RCY,PC,MT,2009-01-01,36
W1501,DOM,RCY,PC,MT,2010-01-01,28
W1501,DOM,RCY,PC,MT,2011-01-01,42
W1501,DOM,RCY,PC,MT,2012-01-01,
W1501,DOM,RCY,PC,MT,2013-01-01,38
W1501,DOM,RCY,PC,MT,2014-01-01,41
W1501,DOM,RCY,PC,MT,2015-01-01,
W1501,DOM,RCY,PC,MT,2016-01-01,
W1501,DOM,RCY,PC,NL,2000-01-01,58
W1501,DOM,RCY,PC,NL,2001-01-01,56
W1501,DOM,RCY,PC,NL,2002-01-01,57
W1501,DOM,RCY,PC,NL,2003-01-01,56
W1501,DOM,RCY,PC,NL,2004-01-01,58
W1501,DOM,RCY,PC,NL,2005-01-01,59
W1501,DOM,RCY,PC,NL,2006-01-01,70
W1501,DOM,RCY,PC,NL,2007-01-01,69
W1501,DOM,RCY,PC,NL,2008-01-01,72
W1501,DOM,RCY,PC,NL,2009-01-01,74
W1501,DOM,RCY,PC,NL,2010-01-01,73
W1501,DOM,RCY,PC,NL,2011-01-01,71
W1501,DOM,RCY,PC,NL,2012-01-01,
W1501,DOM,RCY,PC,NL,2013-01-01,70
W1501,DOM,RCY,PC,NL,2014-01-01,70
W1501,DOM,RCY,PC,NL,2015-01-01,
W1501,DOM,RCY,PC,NL,2016-01-01,72
W1501,DOM,RCY,PC,NO,2000-01-01,
W1501,DOM,RCY,PC,NO,2001-01-01,
W1501,DOM,RCY,PC,NO,2002-01-01,
W1501,DOM,RCY,PC,NO,2003-01-01,
W1501,DOM,RCY,PC,NO,2004-01-01,
W1501,DOM,RCY,PC,NO,2005-01-01,
W1501,DOM,RCY,PC,NO,2006-01-01,70
W1501,DOM,RCY,PC,NO,2007-01-01,68
W1501,DOM,RCY,PC,NO,2008-01-01,54
W1501,DOM,RCY,PC,NO,2009-01-01,53
W1501,DOM,RCY,PC,NO,2010-01-01,56
W1501,DOM,RCY,PC,NO,2011-01-01,57
W1501,DOM,RCY,PC,NO,2012-01-01,
W1501,DOM,RCY,PC,NO,2013-01-01,54
W1501,DOM,RCY,PC,NO,2014-01-01,55
W1501,DOM,RCY,PC,NO,2015-01-01,
W1501,DOM,RCY,PC,NO,2016-01-01,57
W1501,DOM,RCY,PC,PL,2000-01-01,
W1501,DOM,RCY,PC,PL,2001-01-01,
W1501,DOM,RCY,PC,PL,2002-01-01,
W1501,DOM,RCY,PC,PL,2003-01-01,
W1501,DOM,RCY,PC,PL,2004-01-01,28
W1501,DOM,RCY,PC,PL,2005-01-01,29
W1501,DOM,RCY,PC,PL,2006-01-01,37
W1501,DOM,RCY,PC,PL,2007-01-01,48
W1501,DOM,RCY,PC,PL,2008-01-01,42
W1501,DOM,RCY,PC,PL,2009-01-01,36
W1501,DOM,RCY,PC,PL,2010-01-01,38
W1501,DOM,RCY,PC,PL,2011-01-01,41
W1501,DOM,RCY,PC,PL,2012-01-01,
W1501,DOM,RCY,PC,PL,2013-01-01,36
W1501,DOM,RCY,PC,PL,2014-01-01,55
W1501,DOM,RCY,PC,PL,2015-01-01,
W1501,DOM,RCY,PC,PL,2016-01-01,58
W1501,DOM,RCY,PC,PT,2000-01-01,30
W1501,DOM,RCY,PC,PT,2001-01-01,37
W1501,DOM,RCY,PC,PT,2002-01-01,35
W1501,DOM,RCY,PC,PT,2003-01-01,38
W1501,DOM,RCY,PC,PT,2004-01-01,41
W1501,DOM,RCY,PC,PT,2005-01-01,44
W1501,DOM,RCY,PC,PT,2006-01-01,51
W1501,DOM,RCY,PC,PT,2007-01-01,56
W1501,DOM,RCY,PC,PT,2008-01-01,61
W1501,DOM,RCY,PC,PT,2009-01-01,59
W1501,DOM,RCY,PC,PT,2010-01-01,55
W1501,DOM,RCY,PC,PT,2011-01-01,58
W1501,DOM,RCY,PC,PT,2012-01-01,
W1501,DOM,RCY,PC,PT,2013-01-01,61
W1501,DOM,RCY,PC,PT,2014-01-01,61
W1501,DOM,RCY,PC,PT,2015-01-01,
W1501,DOM,RCY,PC,PT,2016-01-01,60
W1501,DOM,RCY,PC,RO,2000-01-01,
W1501,DOM,RCY,PC,RO,2001-01-01,
W1501,DOM,RCY,PC,RO,2002-01-01,
W1501,DOM,RCY,PC,RO,2003-01-01,
W1501,DOM,RCY,PC,RO,2004-01-01,
W1501,DOM,RCY,PC,RO,2005-01-01,23
W1501,DOM,RCY,PC,RO,2006-01-01,28
W1501,DOM,RCY,PC,RO,2007-01-01,30
W1501,DOM,RCY,PC,RO,2008-01-01,33
W1501,DOM,RCY,PC,RO,2009-01-01,40
W1501,DOM,RCY,PC,RO,2010-01-01,43
W1501,DOM,RCY,PC,RO,2011-01-01,50
W1501,DOM,RCY,PC,RO,2012-01-01,
W1501,DOM,RCY,PC,RO,2013-01-01,52
W1501,DOM,RCY,PC,RO,2014-01-01,54
W1501,DOM,RCY,PC,RO,2015-01-01,
W1501,DOM,RCY,PC,RO,2016-01-01,
W1501,DOM,RCY,PC,SE,2000-01-01,57
W1501,DOM,RCY,PC,SE,2001-01-01,63
W1501,DOM,RCY,PC,SE,2002-01-01,64
W1501,DOM,RCY,PC,SE,2003-01-01,60
W1501,DOM,RCY,PC,SE,2004-01-01,49
W1501,DOM,RCY,PC,SE,2005-01-01,48
W1501,DOM,RCY,PC,SE,2006-01-01,58
W1501,DOM,RCY,PC,SE,2007-01-01,59
W1501,DOM,RCY,PC,SE,2008-01-01,58
W1501,DOM,RCY,PC,SE,2009-01-01,58
W1501,DOM,RCY,PC,SE,2010-01-01,69
W1501,DOM,RCY,PC,SE,2011-01-01,71
W1501,DOM,RCY,PC,SE,2012-01-01,
W1501,DOM,RCY,PC,SE,2013-01-01,71
W1501,DOM,RCY,PC,SE,2014-01-01,70
W1501,DOM,RCY,PC,SE,2015-01-01,
W1501,DOM,RCY,PC,SE,2016-01-01,68
W1501,DOM,RCY,PC,SI,2000-01-01,
W1501,DOM,RCY,PC,SI,2001-01-01,
W1501,DOM,RCY,PC,SI,2002-01-01,
W1501,DOM,RCY,PC,SI,2003-01-01,
W1501,DOM,RCY,PC,SI,2004-01-01,34
W1501,DOM,RCY,PC,SI,2005-01-01,45
W1501,DOM,RCY,PC,SI,2006-01-01,40
W1501,DOM,RCY,PC,SI,2007-01-01,46
W1501,DOM,RCY,PC,SI,2008-01-01,52
W1501,DOM,RCY,PC,SI,2009-01-01,49
W1501,DOM,RCY,PC,SI,2010-01-01,61
W1501,DOM,RCY,PC,SI,2011-01-01,63
W1501,DOM,RCY,PC,SI,2012-01-01,
W1501,DOM,RCY,PC,SI,2013-01-01,69
W1501,DOM,RCY,PC,SI,2014-01-01,70
W1501,DOM,RCY,PC,SI,2015-01-01,
W1501,DOM,RCY,PC,SI,2016-01-01,69
W1501,DOM,RCY,PC,SK,2000-01-01,
W1501,DOM,RCY,PC,SK,2001-01-01,
W1501,DOM,RCY,PC,SK,2002-01-01,
W1501,DOM,RCY,PC,SK,2003-01-01,36
W1501,DOM,RCY,PC,SK,2004-01-01,37
W1501,DOM,RCY,PC,SK,2005-01-01,29
W1501,DOM,RCY,PC,SK,2006-01-01,36
