unit,icha11_hf,geotime,date,value
PC_CHE,HF3,UK,2006-01-01,
PC_CHE,HF3,UK,2007-01-01,
PC_CHE,HF3,UK,2008-01-01,
PC_CHE,HF3,UK,2009-01-01,
PC_CHE,HF3,UK,2010-01-01,
PC_CHE,HF3,UK,2011-01-01,
PC_CHE,HF3,UK,2012-01-01,
PC_CHE,HF3,UK,2013-01-01,14
PC_CHE,HF3,UK,2014-01-01,14
PC_CHE,HF3,UK,2015-01-01,14
PC_CHE,HF3,UK,2016-01-01,15
