currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geotime,date,value
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2018-01-01,1893
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HR,2018-04-01,388
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2018-01-01,1975
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,HU,2018-04-01,982
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2018-01-01,9115
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IE,2018-04-01,9798
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2015-10-01,
