unit,age,sex,lmp_type,geotime,date,value
RT,TOTAL,T,TOT2_7,AT,2014-01-01,23
RT,TOTAL,T,TOT2_7,AT,2015-01-01,21
RT,TOTAL,T,TOT2_7,AT,2016-01-01,21
RT,TOTAL,T,TOT2_7,BE,2005-01-01,30
RT,TOTAL,T,TOT2_7,BE,2006-01-01,36
RT,TOTAL,T,TOT2_7,BE,2007-01-01,43
RT,TOTAL,T,TOT2_7,BE,2008-01-01,52
RT,TOTAL,T,TOT2_7,BE,2009-01-01,51
RT,TOTAL,T,TOT2_7,BE,2010-01-01,49
RT,TOTAL,T,TOT2_7,BE,2011-01-01,48
RT,TOTAL,T,TOT2_7,BE,2012-01-01,48
RT,TOTAL,T,TOT2_7,BE,2013-01-01,41
RT,TOTAL,T,TOT2_7,BE,2014-01-01,45
RT,TOTAL,T,TOT2_7,BE,2015-01-01,49
RT,TOTAL,T,TOT2_7,BE,2016-01-01,66
RT,TOTAL,T,TOT2_7,BG,2005-01-01,10
RT,TOTAL,T,TOT2_7,BG,2006-01-01,15
RT,TOTAL,T,TOT2_7,BG,2007-01-01,14
RT,TOTAL,T,TOT2_7,BG,2008-01-01,20
RT,TOTAL,T,TOT2_7,BG,2009-01-01,11
RT,TOTAL,T,TOT2_7,BG,2010-01-01,4
RT,TOTAL,T,TOT2_7,BG,2011-01-01,2
RT,TOTAL,T,TOT2_7,BG,2012-01-01,3
RT,TOTAL,T,TOT2_7,BG,2013-01-01,7
RT,TOTAL,T,TOT2_7,BG,2014-01-01,3
RT,TOTAL,T,TOT2_7,BG,2015-01-01,2
RT,TOTAL,T,TOT2_7,BG,2016-01-01,5
RT,TOTAL,T,TOT2_7,CY,2005-01-01,
RT,TOTAL,T,TOT2_7,CY,2006-01-01,4
RT,TOTAL,T,TOT2_7,CY,2007-01-01,8
RT,TOTAL,T,TOT2_7,CY,2008-01-01,11
RT,TOTAL,T,TOT2_7,CY,2009-01-01,10
RT,TOTAL,T,TOT2_7,CY,2010-01-01,19
RT,TOTAL,T,TOT2_7,CY,2011-01-01,17
RT,TOTAL,T,TOT2_7,CY,2012-01-01,11
RT,TOTAL,T,TOT2_7,CY,2013-01-01,5
RT,TOTAL,T,TOT2_7,CY,2014-01-01,8
RT,TOTAL,T,TOT2_7,CY,2015-01-01,9
RT,TOTAL,T,TOT2_7,CY,2016-01-01,7
RT,TOTAL,T,TOT2_7,CZ,2005-01-01,8
