org_inst,sex,unit,geotime,date,value
GOV_NAT,F,PC_WMN,MT,2018-01-01,12
GOV_NAT,F,PC_WMN,NL,2003-01-01,38
GOV_NAT,F,PC_WMN,NL,2004-01-01,36
GOV_NAT,F,PC_WMN,NL,2005-01-01,34
GOV_NAT,F,PC_WMN,NL,2006-01-01,31
GOV_NAT,F,PC_WMN,NL,2007-01-01,40
GOV_NAT,F,PC_WMN,NL,2008-01-01,40
GOV_NAT,F,PC_WMN,NL,2009-01-01,40
GOV_NAT,F,PC_WMN,NL,2010-01-01,35
GOV_NAT,F,PC_WMN,NL,2011-01-01,20
GOV_NAT,F,PC_WMN,NL,2012-01-01,35
GOV_NAT,F,PC_WMN,NL,2013-01-01,40
GOV_NAT,F,PC_WMN,NL,2014-01-01,40
GOV_NAT,F,PC_WMN,NL,2015-01-01,35
GOV_NAT,F,PC_WMN,NL,2016-01-01,35
GOV_NAT,F,PC_WMN,NL,2017-01-01,41
GOV_NAT,F,PC_WMN,NL,2018-01-01,41
GOV_NAT,F,PC_WMN,NO,2003-01-01,47
GOV_NAT,F,PC_WMN,NO,2004-01-01,36
GOV_NAT,F,PC_WMN,NO,2005-01-01,36
GOV_NAT,F,PC_WMN,NO,2006-01-01,45
GOV_NAT,F,PC_WMN,NO,2007-01-01,46
GOV_NAT,F,PC_WMN,NO,2008-01-01,42
GOV_NAT,F,PC_WMN,NO,2009-01-01,44
GOV_NAT,F,PC_WMN,NO,2010-01-01,45
GOV_NAT,F,PC_WMN,NO,2011-01-01,46
GOV_NAT,F,PC_WMN,NO,2012-01-01,44
GOV_NAT,F,PC_WMN,NO,2013-01-01,33
GOV_NAT,F,PC_WMN,NO,2014-01-01,33
GOV_NAT,F,PC_WMN,NO,2015-01-01,39
GOV_NAT,F,PC_WMN,NO,2016-01-01,38
GOV_NAT,F,PC_WMN,NO,2017-01-01,40
GOV_NAT,F,PC_WMN,NO,2018-01-01,43
GOV_NAT,F,PC_WMN,PL,2003-01-01,
GOV_NAT,F,PC_WMN,PL,2004-01-01,6
GOV_NAT,F,PC_WMN,PL,2005-01-01,14
GOV_NAT,F,PC_WMN,PL,2006-01-01,20
GOV_NAT,F,PC_WMN,PL,2007-01-01,18
GOV_NAT,F,PC_WMN,PL,2008-01-01,20
GOV_NAT,F,PC_WMN,PL,2009-01-01,21
GOV_NAT,F,PC_WMN,PL,2010-01-01,18
GOV_NAT,F,PC_WMN,PL,2011-01-01,20
GOV_NAT,F,PC_WMN,PL,2012-01-01,26
GOV_NAT,F,PC_WMN,PL,2013-01-01,27
GOV_NAT,F,PC_WMN,PL,2014-01-01,29
GOV_NAT,F,PC_WMN,PL,2015-01-01,29
GOV_NAT,F,PC_WMN,PL,2016-01-01,17
GOV_NAT,F,PC_WMN,PL,2017-01-01,18
GOV_NAT,F,PC_WMN,PL,2018-01-01,16
GOV_NAT,F,PC_WMN,PT,2003-01-01,18
GOV_NAT,F,PC_WMN,PT,2004-01-01,13
GOV_NAT,F,PC_WMN,PT,2005-01-01,13
GOV_NAT,F,PC_WMN,PT,2006-01-01,10
GOV_NAT,F,PC_WMN,PT,2007-01-01,9
GOV_NAT,F,PC_WMN,PT,2008-01-01,11
GOV_NAT,F,PC_WMN,PT,2009-01-01,16
GOV_NAT,F,PC_WMN,PT,2010-01-01,18
GOV_NAT,F,PC_WMN,PT,2011-01-01,16
GOV_NAT,F,PC_WMN,PT,2012-01-01,14
GOV_NAT,F,PC_WMN,PT,2013-01-01,14
GOV_NAT,F,PC_WMN,PT,2014-01-01,14
GOV_NAT,F,PC_WMN,PT,2015-01-01,33
GOV_NAT,F,PC_WMN,PT,2016-01-01,32
GOV_NAT,F,PC_WMN,PT,2017-01-01,32
GOV_NAT,F,PC_WMN,PT,2018-01-01,34
GOV_NAT,F,PC_WMN,RO,2003-01-01,15
GOV_NAT,F,PC_WMN,RO,2004-01-01,17
GOV_NAT,F,PC_WMN,RO,2005-01-01,15
GOV_NAT,F,PC_WMN,RO,2006-01-01,13
GOV_NAT,F,PC_WMN,RO,2007-01-01,0
GOV_NAT,F,PC_WMN,RO,2008-01-01,0
GOV_NAT,F,PC_WMN,RO,2009-01-01,18
GOV_NAT,F,PC_WMN,RO,2010-01-01,11
GOV_NAT,F,PC_WMN,RO,2011-01-01,16
GOV_NAT,F,PC_WMN,RO,2012-01-01,19
GOV_NAT,F,PC_WMN,RO,2013-01-01,21
GOV_NAT,F,PC_WMN,RO,2014-01-01,20
GOV_NAT,F,PC_WMN,RO,2015-01-01,35
GOV_NAT,F,PC_WMN,RO,2016-01-01,36
GOV_NAT,F,PC_WMN,RO,2017-01-01,21
GOV_NAT,F,PC_WMN,RO,2018-01-01,32
GOV_NAT,F,PC_WMN,RS,2003-01-01,
GOV_NAT,F,PC_WMN,RS,2004-01-01,
GOV_NAT,F,PC_WMN,RS,2005-01-01,
GOV_NAT,F,PC_WMN,RS,2006-01-01,
GOV_NAT,F,PC_WMN,RS,2007-01-01,
GOV_NAT,F,PC_WMN,RS,2008-01-01,18
GOV_NAT,F,PC_WMN,RS,2009-01-01,18
GOV_NAT,F,PC_WMN,RS,2010-01-01,18
GOV_NAT,F,PC_WMN,RS,2011-01-01,14
GOV_NAT,F,PC_WMN,RS,2012-01-01,26
GOV_NAT,F,PC_WMN,RS,2013-01-01,13
GOV_NAT,F,PC_WMN,RS,2014-01-01,21
GOV_NAT,F,PC_WMN,RS,2015-01-01,21
GOV_NAT,F,PC_WMN,RS,2016-01-01,25
GOV_NAT,F,PC_WMN,RS,2017-01-01,22
GOV_NAT,F,PC_WMN,RS,2018-01-01,22
GOV_NAT,F,PC_WMN,SE,2003-01-01,52
GOV_NAT,F,PC_WMN,SE,2004-01-01,43
GOV_NAT,F,PC_WMN,SE,2005-01-01,46
GOV_NAT,F,PC_WMN,SE,2006-01-01,42
GOV_NAT,F,PC_WMN,SE,2007-01-01,45
GOV_NAT,F,PC_WMN,SE,2008-01-01,45
GOV_NAT,F,PC_WMN,SE,2009-01-01,45
GOV_NAT,F,PC_WMN,SE,2010-01-01,45
GOV_NAT,F,PC_WMN,SE,2011-01-01,50
GOV_NAT,F,PC_WMN,SE,2012-01-01,54
GOV_NAT,F,PC_WMN,SE,2013-01-01,54
GOV_NAT,F,PC_WMN,SE,2014-01-01,50
GOV_NAT,F,PC_WMN,SE,2015-01-01,50
GOV_NAT,F,PC_WMN,SE,2016-01-01,50
GOV_NAT,F,PC_WMN,SE,2017-01-01,52
GOV_NAT,F,PC_WMN,SE,2018-01-01,52
GOV_NAT,F,PC_WMN,SI,2003-01-01,18
GOV_NAT,F,PC_WMN,SI,2004-01-01,7
GOV_NAT,F,PC_WMN,SI,2005-01-01,6
GOV_NAT,F,PC_WMN,SI,2006-01-01,6
GOV_NAT,F,PC_WMN,SI,2007-01-01,17
GOV_NAT,F,PC_WMN,SI,2008-01-01,22
GOV_NAT,F,PC_WMN,SI,2009-01-01,35
GOV_NAT,F,PC_WMN,SI,2010-01-01,35
GOV_NAT,F,PC_WMN,SI,2011-01-01,26
GOV_NAT,F,PC_WMN,SI,2012-01-01,18
GOV_NAT,F,PC_WMN,SI,2013-01-01,29
GOV_NAT,F,PC_WMN,SI,2014-01-01,40
GOV_NAT,F,PC_WMN,SI,2015-01-01,46
GOV_NAT,F,PC_WMN,SI,2016-01-01,50
GOV_NAT,F,PC_WMN,SI,2017-01-01,43
GOV_NAT,F,PC_WMN,SI,2018-01-01,43
GOV_NAT,F,PC_WMN,SK,2003-01-01,0
GOV_NAT,F,PC_WMN,SK,2004-01-01,10
GOV_NAT,F,PC_WMN,SK,2005-01-01,12
GOV_NAT,F,PC_WMN,SK,2006-01-01,15
GOV_NAT,F,PC_WMN,SK,2007-01-01,14
GOV_NAT,F,PC_WMN,SK,2008-01-01,14
GOV_NAT,F,PC_WMN,SK,2009-01-01,17
GOV_NAT,F,PC_WMN,SK,2010-01-01,14
GOV_NAT,F,PC_WMN,SK,2011-01-01,16
GOV_NAT,F,PC_WMN,SK,2012-01-01,8
GOV_NAT,F,PC_WMN,SK,2013-01-01,8
GOV_NAT,F,PC_WMN,SK,2014-01-01,5
GOV_NAT,F,PC_WMN,SK,2015-01-01,8
GOV_NAT,F,PC_WMN,SK,2016-01-01,17
GOV_NAT,F,PC_WMN,SK,2017-01-01,22
GOV_NAT,F,PC_WMN,SK,2018-01-01,25
GOV_NAT,F,PC_WMN,TR,2003-01-01,
GOV_NAT,F,PC_WMN,TR,2004-01-01,4
GOV_NAT,F,PC_WMN,TR,2005-01-01,4
GOV_NAT,F,PC_WMN,TR,2006-01-01,4
GOV_NAT,F,PC_WMN,TR,2007-01-01,4
GOV_NAT,F,PC_WMN,TR,2008-01-01,4
GOV_NAT,F,PC_WMN,TR,2009-01-01,7
GOV_NAT,F,PC_WMN,TR,2010-01-01,7
GOV_NAT,F,PC_WMN,TR,2011-01-01,3
GOV_NAT,F,PC_WMN,TR,2012-01-01,3
GOV_NAT,F,PC_WMN,TR,2013-01-01,3
GOV_NAT,F,PC_WMN,TR,2014-01-01,3
GOV_NAT,F,PC_WMN,TR,2015-01-01,7
GOV_NAT,F,PC_WMN,TR,2016-01-01,3
GOV_NAT,F,PC_WMN,TR,2017-01-01,7
GOV_NAT,F,PC_WMN,TR,2018-01-01,7
GOV_NAT,F,PC_WMN,UK,2003-01-01,30
GOV_NAT,F,PC_WMN,UK,2004-01-01,25
GOV_NAT,F,PC_WMN,UK,2005-01-01,27
GOV_NAT,F,PC_WMN,UK,2006-01-01,24
GOV_NAT,F,PC_WMN,UK,2007-01-01,32
GOV_NAT,F,PC_WMN,UK,2008-01-01,34
GOV_NAT,F,PC_WMN,UK,2009-01-01,28
GOV_NAT,F,PC_WMN,UK,2010-01-01,13
GOV_NAT,F,PC_WMN,UK,2011-01-01,16
GOV_NAT,F,PC_WMN,UK,2012-01-01,18
