age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2014-01-01,52
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2016-01-01,51
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FI,2017-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2006-01-01,52
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2007-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2008-01-01,49
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2009-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2010-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2011-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2012-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2014-01-01,52
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2016-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,FR,2017-01-01,60
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2006-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2007-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2008-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2009-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2010-01-01,69
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2011-01-01,62
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2012-01-01,61
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2014-01-01,63
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2016-01-01,66
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HR,2017-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2006-01-01,60
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2007-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2008-01-01,48
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2009-01-01,48
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2010-01-01,52
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2011-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2012-01-01,59
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2014-01-01,63
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2016-01-01,53
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,HU,2017-01-01,43
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2006-01-01,65
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2007-01-01,59
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2008-01-01,46
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2009-01-01,46
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2010-01-01,43
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2011-01-01,43
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2012-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2014-01-01,52
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2016-01-01,61
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IE,2017-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2006-01-01,34
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2007-01-01,19
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2008-01-01,33
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2009-01-01,41
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2010-01-01,32
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2011-01-01,33
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2012-01-01,26
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2014-01-01,30
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2016-01-01,29
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IS,2017-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2006-01-01,51
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2007-01-01,53
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2008-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2009-01-01,49
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2010-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2011-01-01,58
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2012-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2014-01-01,59
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2016-01-01,59
