currency,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geotime,date,value
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2017-10-01,4.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2017-11-01,-34.5 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2017-12-01,-35.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2018-01-01,-41.7 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2018-02-01,-1.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2018-03-01,-105.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2018-04-01,-3.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2018-05-01,49.5 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2018-06-01,-26.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2018-07-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MK,2018-08-01,
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2017-09-01,138.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2017-10-01,201.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2017-11-01,88.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2017-12-01,-61.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2018-01-01,171.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2018-02-01,169.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2018-03-01,27.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2018-04-01,209.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2018-05-01,46.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2018-06-01,128.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2018-07-01,149.7 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,MT,2018-08-01,159.3 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,NL,2017-09-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,NL,2017-10-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,NL,2017-11-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,NL,2017-12-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,NL,2018-01-01,: c
