sex,age,unit,isced11,geotime,date,value
T,Y20-29,PC,TOTAL,MK,2008-01-01,34
T,Y20-29,PC,TOTAL,MK,2009-01-01,36
T,Y20-29,PC,TOTAL,MK,2010-01-01,36
T,Y20-29,PC,TOTAL,MK,2011-01-01,34
T,Y20-29,PC,TOTAL,MK,2012-01-01,
T,Y20-29,PC,TOTAL,MK,2013-01-01,
T,Y20-29,PC,TOTAL,MK,2014-01-01,36
T,Y20-29,PC,TOTAL,MK,2015-01-01,37
T,Y20-29,PC,TOTAL,MK,2016-01-01,38
T,Y20-29,PC,TOTAL,MK,2017-01-01,40
T,Y20-29,PC,TOTAL,MT,2005-01-01,72
T,Y20-29,PC,TOTAL,MT,2006-01-01,74
T,Y20-29,PC,TOTAL,MT,2007-01-01,75
T,Y20-29,PC,TOTAL,MT,2008-01-01,76
T,Y20-29,PC,TOTAL,MT,2009-01-01,73
T,Y20-29,PC,TOTAL,MT,2010-01-01,73
T,Y20-29,PC,TOTAL,MT,2011-01-01,74
T,Y20-29,PC,TOTAL,MT,2012-01-01,
T,Y20-29,PC,TOTAL,MT,2013-01-01,
T,Y20-29,PC,TOTAL,MT,2014-01-01,76
T,Y20-29,PC,TOTAL,MT,2015-01-01,75
T,Y20-29,PC,TOTAL,MT,2016-01-01,76
T,Y20-29,PC,TOTAL,MT,2017-01-01,78
T,Y20-29,PC,TOTAL,NL,2005-01-01,80
T,Y20-29,PC,TOTAL,NL,2006-01-01,82
T,Y20-29,PC,TOTAL,NL,2007-01-01,83
T,Y20-29,PC,TOTAL,NL,2008-01-01,83
T,Y20-29,PC,TOTAL,NL,2009-01-01,82
T,Y20-29,PC,TOTAL,NL,2010-01-01,78
T,Y20-29,PC,TOTAL,NL,2011-01-01,77
T,Y20-29,PC,TOTAL,NL,2012-01-01,
T,Y20-29,PC,TOTAL,NL,2013-01-01,
T,Y20-29,PC,TOTAL,NL,2014-01-01,74
T,Y20-29,PC,TOTAL,NL,2015-01-01,75
T,Y20-29,PC,TOTAL,NL,2016-01-01,75
T,Y20-29,PC,TOTAL,NL,2017-01-01,76
T,Y20-29,PC,TOTAL,NO,2005-01-01,73
T,Y20-29,PC,TOTAL,NO,2006-01-01,75
T,Y20-29,PC,TOTAL,NO,2007-01-01,77
T,Y20-29,PC,TOTAL,NO,2008-01-01,78
T,Y20-29,PC,TOTAL,NO,2009-01-01,75
T,Y20-29,PC,TOTAL,NO,2010-01-01,72
T,Y20-29,PC,TOTAL,NO,2011-01-01,72
T,Y20-29,PC,TOTAL,NO,2012-01-01,
T,Y20-29,PC,TOTAL,NO,2013-01-01,
T,Y20-29,PC,TOTAL,NO,2014-01-01,71
T,Y20-29,PC,TOTAL,NO,2015-01-01,71
T,Y20-29,PC,TOTAL,NO,2016-01-01,71
T,Y20-29,PC,TOTAL,NO,2017-01-01,71
T,Y20-29,PC,TOTAL,PL,2005-01-01,52
T,Y20-29,PC,TOTAL,PL,2006-01-01,55
T,Y20-29,PC,TOTAL,PL,2007-01-01,58
T,Y20-29,PC,TOTAL,PL,2008-01-01,62
T,Y20-29,PC,TOTAL,PL,2009-01-01,61
T,Y20-29,PC,TOTAL,PL,2010-01-01,59
T,Y20-29,PC,TOTAL,PL,2011-01-01,59
T,Y20-29,PC,TOTAL,PL,2012-01-01,
T,Y20-29,PC,TOTAL,PL,2013-01-01,
T,Y20-29,PC,TOTAL,PL,2014-01-01,60
T,Y20-29,PC,TOTAL,PL,2015-01-01,61
T,Y20-29,PC,TOTAL,PL,2016-01-01,64
T,Y20-29,PC,TOTAL,PL,2017-01-01,65
T,Y20-29,PC,TOTAL,PT,2005-01-01,66
T,Y20-29,PC,TOTAL,PT,2006-01-01,66
T,Y20-29,PC,TOTAL,PT,2007-01-01,66
T,Y20-29,PC,TOTAL,PT,2008-01-01,67
T,Y20-29,PC,TOTAL,PT,2009-01-01,65
T,Y20-29,PC,TOTAL,PT,2010-01-01,61
T,Y20-29,PC,TOTAL,PT,2011-01-01,60
T,Y20-29,PC,TOTAL,PT,2012-01-01,
T,Y20-29,PC,TOTAL,PT,2013-01-01,
T,Y20-29,PC,TOTAL,PT,2014-01-01,55
T,Y20-29,PC,TOTAL,PT,2015-01-01,56
T,Y20-29,PC,TOTAL,PT,2016-01-01,57
T,Y20-29,PC,TOTAL,PT,2017-01-01,62
T,Y20-29,PC,TOTAL,RO,2005-01-01,55
T,Y20-29,PC,TOTAL,RO,2006-01-01,54
T,Y20-29,PC,TOTAL,RO,2007-01-01,54
T,Y20-29,PC,TOTAL,RO,2008-01-01,53
T,Y20-29,PC,TOTAL,RO,2009-01-01,51
T,Y20-29,PC,TOTAL,RO,2010-01-01,54
T,Y20-29,PC,TOTAL,RO,2011-01-01,53
T,Y20-29,PC,TOTAL,RO,2012-01-01,
T,Y20-29,PC,TOTAL,RO,2013-01-01,
T,Y20-29,PC,TOTAL,RO,2014-01-01,55
T,Y20-29,PC,TOTAL,RO,2015-01-01,57
T,Y20-29,PC,TOTAL,RO,2016-01-01,56
T,Y20-29,PC,TOTAL,RO,2017-01-01,59
T,Y20-29,PC,TOTAL,SE,2005-01-01,67
T,Y20-29,PC,TOTAL,SE,2006-01-01,69
T,Y20-29,PC,TOTAL,SE,2007-01-01,71
T,Y20-29,PC,TOTAL,SE,2008-01-01,71
T,Y20-29,PC,TOTAL,SE,2009-01-01,67
T,Y20-29,PC,TOTAL,SE,2010-01-01,66
T,Y20-29,PC,TOTAL,SE,2011-01-01,68
T,Y20-29,PC,TOTAL,SE,2012-01-01,
T,Y20-29,PC,TOTAL,SE,2013-01-01,
T,Y20-29,PC,TOTAL,SE,2014-01-01,68
T,Y20-29,PC,TOTAL,SE,2015-01-01,69
T,Y20-29,PC,TOTAL,SE,2016-01-01,70
T,Y20-29,PC,TOTAL,SE,2017-01-01,71
