sex,unit,age,geotime,date,value
T,PPCH_3Y,TOTAL,DE,2005-01-01,
T,PPCH_3Y,TOTAL,DE,2006-01-01,
T,PPCH_3Y,TOTAL,DE,2007-01-01,
T,PPCH_3Y,TOTAL,DE,2008-01-01,0.9
T,PPCH_3Y,TOTAL,DE,2009-01-01,0.3
T,PPCH_3Y,TOTAL,DE,2010-01-01,-0.3
T,PPCH_3Y,TOTAL,DE,2011-01-01,-0.2
T,PPCH_3Y,TOTAL,DE,2012-01-01,-0.5
T,PPCH_3Y,TOTAL,DE,2013-01-01,0.9
T,PPCH_3Y,TOTAL,DE,2014-01-01,-0.3
T,PPCH_3Y,TOTAL,DE,2015-01-01,-0.5
T,PPCH_3Y,TOTAL,DE,2016-01-01,-1.7
T,PPCH_3Y,TOTAL,DE,2017-01-01,-1.6
T,PPCH_3Y,TOTAL,DK,2003-01-01,
T,PPCH_3Y,TOTAL,DK,2004-01-01,
T,PPCH_3Y,TOTAL,DK,2005-01-01,
T,PPCH_3Y,TOTAL,DK,2006-01-01,1.1
T,PPCH_3Y,TOTAL,DK,2007-01-01,0.4
T,PPCH_3Y,TOTAL,DK,2008-01-01,-1.2
T,PPCH_3Y,TOTAL,DK,2009-01-01,-0.8
T,PPCH_3Y,TOTAL,DK,2010-01-01,-0.6
T,PPCH_3Y,TOTAL,DK,2011-01-01,0.3
T,PPCH_3Y,TOTAL,DK,2012-01-01,0.4
T,PPCH_3Y,TOTAL,DK,2013-01-01,0.9
T,PPCH_3Y,TOTAL,DK,2014-01-01,0.9
T,PPCH_3Y,TOTAL,DK,2015-01-01,1.0
T,PPCH_3Y,TOTAL,DK,2016-01-01,-1.0
T,PPCH_3Y,TOTAL,DK,2017-01-01,-0.1
T,PPCH_3Y,TOTAL,EE,2003-01-01,
T,PPCH_3Y,TOTAL,EE,2004-01-01,
T,PPCH_3Y,TOTAL,EE,2005-01-01,
T,PPCH_3Y,TOTAL,EE,2006-01-01,
T,PPCH_3Y,TOTAL,EE,2007-01-01,-3.8
T,PPCH_3Y,TOTAL,EE,2008-01-01,-7.5
T,PPCH_3Y,TOTAL,EE,2009-01-01,-0.8
T,PPCH_3Y,TOTAL,EE,2010-01-01,3.4
T,PPCH_3Y,TOTAL,EE,2011-01-01,3.8
T,PPCH_3Y,TOTAL,EE,2012-01-01,3.2
