age,unit,indic_em,sex,geotime,date,value
Y20-64,PC_POP,EMP_LFS,F,MT,2013-01-01,51
Y20-64,PC_POP,EMP_LFS,F,MT,2014-01-01,54
Y20-64,PC_POP,EMP_LFS,F,MT,2015-01-01,55
Y20-64,PC_POP,EMP_LFS,F,MT,2016-01-01,58
Y20-64,PC_POP,EMP_LFS,F,MT,2017-01-01,60
Y20-64,PC_POP,EMP_LFS,F,NL,2005-01-01,67
Y20-64,PC_POP,EMP_LFS,F,NL,2006-01-01,69
Y20-64,PC_POP,EMP_LFS,F,NL,2007-01-01,70
Y20-64,PC_POP,EMP_LFS,F,NL,2008-01-01,72
Y20-64,PC_POP,EMP_LFS,F,NL,2009-01-01,72
Y20-64,PC_POP,EMP_LFS,F,NL,2010-01-01,70
Y20-64,PC_POP,EMP_LFS,F,NL,2011-01-01,70
Y20-64,PC_POP,EMP_LFS,F,NL,2012-01-01,71
Y20-64,PC_POP,EMP_LFS,F,NL,2013-01-01,70
Y20-64,PC_POP,EMP_LFS,F,NL,2014-01-01,69
Y20-64,PC_POP,EMP_LFS,F,NL,2015-01-01,70
Y20-64,PC_POP,EMP_LFS,F,NL,2016-01-01,71
Y20-64,PC_POP,EMP_LFS,F,NL,2017-01-01,72
Y20-64,PC_POP,EMP_LFS,F,NO,2005-01-01,74
Y20-64,PC_POP,EMP_LFS,F,NO,2006-01-01,75
Y20-64,PC_POP,EMP_LFS,F,NO,2007-01-01,77
Y20-64,PC_POP,EMP_LFS,F,NO,2008-01-01,78
Y20-64,PC_POP,EMP_LFS,F,NO,2009-01-01,77
Y20-64,PC_POP,EMP_LFS,F,NO,2010-01-01,76
Y20-64,PC_POP,EMP_LFS,F,NO,2011-01-01,77
Y20-64,PC_POP,EMP_LFS,F,NO,2012-01-01,77
Y20-64,PC_POP,EMP_LFS,F,NO,2013-01-01,77
Y20-64,PC_POP,EMP_LFS,F,NO,2014-01-01,77
Y20-64,PC_POP,EMP_LFS,F,NO,2015-01-01,76
Y20-64,PC_POP,EMP_LFS,F,NO,2016-01-01,76
Y20-64,PC_POP,EMP_LFS,F,NO,2017-01-01,76
Y20-64,PC_POP,EMP_LFS,F,PL,2005-01-01,51
Y20-64,PC_POP,EMP_LFS,F,PL,2006-01-01,53
Y20-64,PC_POP,EMP_LFS,F,PL,2007-01-01,55
