indic_nrg,unit,product,geotime,date,value
B_101550,PC,0000,PL,2011-01-01,33
B_101550,PC,0000,PL,2012-01-01,30
B_101550,PC,0000,PL,2013-01-01,25
B_101550,PC,0000,PL,2014-01-01,28
B_101550,PC,0000,PL,2015-01-01,29
B_101550,PC,0000,PL,2016-01-01,30
B_101550,PC,0000,PT,2000-01-01,85
B_101550,PC,0000,PT,2001-01-01,85
B_101550,PC,0000,PT,2002-01-01,84
B_101550,PC,0000,PT,2003-01-01,85
B_101550,PC,0000,PT,2004-01-01,83
B_101550,PC,0000,PT,2005-01-01,88
B_101550,PC,0000,PT,2006-01-01,84
B_101550,PC,0000,PT,2007-01-01,81
B_101550,PC,0000,PT,2008-01-01,83
B_101550,PC,0000,PT,2009-01-01,81
B_101550,PC,0000,PT,2010-01-01,75
B_101550,PC,0000,PT,2011-01-01,77
B_101550,PC,0000,PT,2012-01-01,79
B_101550,PC,0000,PT,2013-01-01,72
B_101550,PC,0000,PT,2014-01-01,71
B_101550,PC,0000,PT,2015-01-01,77
B_101550,PC,0000,PT,2016-01-01,73
B_101550,PC,0000,RO,2000-01-01,21
B_101550,PC,0000,RO,2001-01-01,26
B_101550,PC,0000,RO,2002-01-01,24
B_101550,PC,0000,RO,2003-01-01,25
B_101550,PC,0000,RO,2004-01-01,30
B_101550,PC,0000,RO,2005-01-01,27
B_101550,PC,0000,RO,2006-01-01,29
B_101550,PC,0000,RO,2007-01-01,31
B_101550,PC,0000,RO,2008-01-01,27
B_101550,PC,0000,RO,2009-01-01,20
B_101550,PC,0000,RO,2010-01-01,21
B_101550,PC,0000,RO,2011-01-01,21
B_101550,PC,0000,RO,2012-01-01,22
B_101550,PC,0000,RO,2013-01-01,18
B_101550,PC,0000,RO,2014-01-01,17
B_101550,PC,0000,RO,2015-01-01,17
B_101550,PC,0000,RO,2016-01-01,22
B_101550,PC,0000,RS,2000-01-01,13
B_101550,PC,0000,RS,2001-01-01,22
B_101550,PC,0000,RS,2002-01-01,25
B_101550,PC,0000,RS,2003-01-01,27
B_101550,PC,0000,RS,2004-01-01,32
B_101550,PC,0000,RS,2005-01-01,35
B_101550,PC,0000,RS,2006-01-01,37
B_101550,PC,0000,RS,2007-01-01,35
B_101550,PC,0000,RS,2008-01-01,37
B_101550,PC,0000,RS,2009-01-01,32
B_101550,PC,0000,RS,2010-01-01,33
B_101550,PC,0000,RS,2011-01-01,30
B_101550,PC,0000,RS,2012-01-01,27
B_101550,PC,0000,RS,2013-01-01,23
B_101550,PC,0000,RS,2014-01-01,27
B_101550,PC,0000,RS,2015-01-01,27
B_101550,PC,0000,RS,2016-01-01,29
B_101550,PC,0000,SE,2000-01-01,40
B_101550,PC,0000,SE,2001-01-01,37
B_101550,PC,0000,SE,2002-01-01,37
B_101550,PC,0000,SE,2003-01-01,42
B_101550,PC,0000,SE,2004-01-01,36
B_101550,PC,0000,SE,2005-01-01,37
B_101550,PC,0000,SE,2006-01-01,37
B_101550,PC,0000,SE,2007-01-01,35
B_101550,PC,0000,SE,2008-01-01,37
B_101550,PC,0000,SE,2009-01-01,37
B_101550,PC,0000,SE,2010-01-01,36
B_101550,PC,0000,SE,2011-01-01,36
B_101550,PC,0000,SE,2012-01-01,29
B_101550,PC,0000,SE,2013-01-01,32
B_101550,PC,0000,SE,2014-01-01,32
B_101550,PC,0000,SE,2015-01-01,30
B_101550,PC,0000,SE,2016-01-01,32
B_101550,PC,0000,SI,2000-01-01,52
B_101550,PC,0000,SI,2001-01-01,50
B_101550,PC,0000,SI,2002-01-01,50
B_101550,PC,0000,SI,2003-01-01,53
B_101550,PC,0000,SI,2004-01-01,52
B_101550,PC,0000,SI,2005-01-01,52
B_101550,PC,0000,SI,2006-01-01,52
B_101550,PC,0000,SI,2007-01-01,52
B_101550,PC,0000,SI,2008-01-01,55
B_101550,PC,0000,SI,2009-01-01,48
B_101550,PC,0000,SI,2010-01-01,48
B_101550,PC,0000,SI,2011-01-01,47
B_101550,PC,0000,SI,2012-01-01,51
B_101550,PC,0000,SI,2013-01-01,46
B_101550,PC,0000,SI,2014-01-01,44
B_101550,PC,0000,SI,2015-01-01,48
B_101550,PC,0000,SI,2016-01-01,48
B_101550,PC,0000,SK,2000-01-01,65
B_101550,PC,0000,SK,2001-01-01,62
B_101550,PC,0000,SK,2002-01-01,63
B_101550,PC,0000,SK,2003-01-01,64
B_101550,PC,0000,SK,2004-01-01,67
B_101550,PC,0000,SK,2005-01-01,65
B_101550,PC,0000,SK,2006-01-01,63
