unit,indic_he,geo\time,date,value
YR,F_65_LE,AL,2013-01-01,18.4 
YR,F_65_LE,AL,2014-01-01,18.5 
YR,F_65_LE,AL,2015-01-01,17.8 e
YR,F_65_LE,AL,2016-01-01,18.3 
YR,F_65_LE,AM,2005-01-01,: 
YR,F_65_LE,AM,2006-01-01,15.6 
YR,F_65_LE,AM,2007-01-01,15.8 
YR,F_65_LE,AM,2008-01-01,16.0 
YR,F_65_LE,AM,2009-01-01,16.0 
YR,F_65_LE,AM,2010-01-01,: 
YR,F_65_LE,AM,2011-01-01,: 
YR,F_65_LE,AM,2012-01-01,: 
YR,F_65_LE,AM,2013-01-01,: 
YR,F_65_LE,AM,2014-01-01,: 
YR,F_65_LE,AM,2015-01-01,17.2 
YR,F_65_LE,AM,2016-01-01,17.2 
YR,F_65_LE,AT,2005-01-01,20.3 
YR,F_65_LE,AT,2006-01-01,20.7 
YR,F_65_LE,AT,2007-01-01,21.0 
YR,F_65_LE,AT,2008-01-01,21.1 
YR,F_65_LE,AT,2009-01-01,21.2 
YR,F_65_LE,AT,2010-01-01,21.4 
YR,F_65_LE,AT,2011-01-01,21.7 
YR,F_65_LE,AT,2012-01-01,21.3 
YR,F_65_LE,AT,2013-01-01,21.5 
YR,F_65_LE,AT,2014-01-01,21.8 
YR,F_65_LE,AT,2015-01-01,21.3 
YR,F_65_LE,AT,2016-01-01,21.7 
YR,F_65_LE,AZ,2005-01-01,: 
YR,F_65_LE,AZ,2006-01-01,15.7 
YR,F_65_LE,AZ,2007-01-01,15.8 
YR,F_65_LE,AZ,2008-01-01,16.4 
YR,F_65_LE,AZ,2009-01-01,16.3 
YR,F_65_LE,AZ,2010-01-01,16.0 
YR,F_65_LE,AZ,2011-01-01,: 
YR,F_65_LE,AZ,2012-01-01,16.4 
YR,F_65_LE,AZ,2013-01-01,16.5 
YR,F_65_LE,AZ,2014-01-01,16.5 
YR,F_65_LE,AZ,2015-01-01,17.1 
YR,F_65_LE,AZ,2016-01-01,: 
YR,F_65_LE,BE,2005-01-01,20.2 
YR,F_65_LE,BE,2006-01-01,20.6 
YR,F_65_LE,BE,2007-01-01,21.0 
YR,F_65_LE,BE,2008-01-01,20.9 
YR,F_65_LE,BE,2009-01-01,21.2 
YR,F_65_LE,BE,2010-01-01,21.3 
YR,F_65_LE,BE,2011-01-01,21.6 b
YR,F_65_LE,BE,2012-01-01,21.3 
YR,F_65_LE,BE,2013-01-01,21.4 
YR,F_65_LE,BE,2014-01-01,21.9 
YR,F_65_LE,BE,2015-01-01,21.5 
YR,F_65_LE,BE,2016-01-01,21.9 
YR,F_65_LE,BG,2005-01-01,16.2 
YR,F_65_LE,BG,2006-01-01,16.3 
YR,F_65_LE,BG,2007-01-01,16.5 
YR,F_65_LE,BG,2008-01-01,16.8 
YR,F_65_LE,BG,2009-01-01,17.1 
YR,F_65_LE,BG,2010-01-01,17.1 
YR,F_65_LE,BG,2011-01-01,17.3 
YR,F_65_LE,BG,2012-01-01,17.3 
YR,F_65_LE,BG,2013-01-01,17.9 
YR,F_65_LE,BG,2014-01-01,17.6 
YR,F_65_LE,BG,2015-01-01,17.6 
YR,F_65_LE,BG,2016-01-01,17.9 
YR,F_65_LE,BY,2005-01-01,: 
YR,F_65_LE,BY,2006-01-01,: 
YR,F_65_LE,BY,2007-01-01,: 
YR,F_65_LE,BY,2008-01-01,: 
YR,F_65_LE,BY,2009-01-01,: 
YR,F_65_LE,BY,2010-01-01,: 
YR,F_65_LE,BY,2011-01-01,17.3 
YR,F_65_LE,BY,2012-01-01,17.5 
YR,F_65_LE,BY,2013-01-01,17.6 
YR,F_65_LE,BY,2014-01-01,18.0 
YR,F_65_LE,BY,2015-01-01,18.0 
YR,F_65_LE,BY,2016-01-01,18.2 
YR,F_65_LE,CH,2005-01-01,21.7 
YR,F_65_LE,CH,2006-01-01,22.1 
YR,F_65_LE,CH,2007-01-01,22.2 
YR,F_65_LE,CH,2008-01-01,22.3 
YR,F_65_LE,CH,2009-01-01,22.2 
YR,F_65_LE,CH,2010-01-01,22.5 
YR,F_65_LE,CH,2011-01-01,22.6 b
YR,F_65_LE,CH,2012-01-01,22.3 
YR,F_65_LE,CH,2013-01-01,22.4 
YR,F_65_LE,CH,2014-01-01,22.7 
YR,F_65_LE,CH,2015-01-01,22.4 
YR,F_65_LE,CH,2016-01-01,22.9 
YR,F_65_LE,CY,2005-01-01,19.0 
YR,F_65_LE,CY,2006-01-01,19.4 
YR,F_65_LE,CY,2007-01-01,19.5 
YR,F_65_LE,CY,2008-01-01,20.3 
YR,F_65_LE,CY,2009-01-01,20.7 
YR,F_65_LE,CY,2010-01-01,21.0 
