age,sex,hhtyp,indic_il,workint,geotime,date,value
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2009-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2010-01-01,47.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2011-01-01,47.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2012-01-01,47.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2013-01-01,48.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2014-01-01,50.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2015-01-01,50.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2016-01-01,51.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28,2017-01-01,53.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2006-01-01,49.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2007-01-01,49.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2008-01-01,54.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2009-01-01,59.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2010-01-01,57.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2011-01-01,55.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2012-01-01,57.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2013-01-01,48.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2014-01-01,56.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2015-01-01,55.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2016-01-01,54.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FI,2017-01-01,57.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2006-01-01,35.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2007-01-01,31.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2008-01-01,35.8
