unit,vehicle,geotime,date,value
PC,BUS_TOT,SK,2014-01-01,15
PC,BUS_TOT,SK,2015-01-01,14
PC,BUS_TOT,SK,2016-01-01,15
PC,BUS_TOT,TR,2000-01-01,50
PC,BUS_TOT,TR,2001-01-01,47
PC,BUS_TOT,TR,2002-01-01,47
PC,BUS_TOT,TR,2003-01-01,47
PC,BUS_TOT,TR,2004-01-01,45
PC,BUS_TOT,TR,2005-01-01,45
PC,BUS_TOT,TR,2006-01-01,43
PC,BUS_TOT,TR,2007-01-01,42
PC,BUS_TOT,TR,2008-01-01,41
PC,BUS_TOT,TR,2009-01-01,40
PC,BUS_TOT,TR,2010-01-01,38
PC,BUS_TOT,TR,2011-01-01,38
PC,BUS_TOT,TR,2012-01-01,36
PC,BUS_TOT,TR,2013-01-01,34
PC,BUS_TOT,TR,2014-01-01,33
PC,BUS_TOT,TR,2015-01-01,30
PC,BUS_TOT,TR,2016-01-01,28
PC,BUS_TOT,UK,2000-01-01,6
PC,BUS_TOT,UK,2001-01-01,6
PC,BUS_TOT,UK,2002-01-01,5
PC,BUS_TOT,UK,2003-01-01,6
PC,BUS_TOT,UK,2004-01-01,5
PC,BUS_TOT,UK,2005-01-01,5
PC,BUS_TOT,UK,2006-01-01,5
PC,BUS_TOT,UK,2007-01-01,5
PC,BUS_TOT,UK,2008-01-01,5
PC,BUS_TOT,UK,2009-01-01,6
PC,BUS_TOT,UK,2010-01-01,6
PC,BUS_TOT,UK,2011-01-01,5
PC,BUS_TOT,UK,2012-01-01,5
PC,BUS_TOT,UK,2013-01-01,5
PC,BUS_TOT,UK,2014-01-01,5
PC,BUS_TOT,UK,2015-01-01,5
PC,BUS_TOT,UK,2016-01-01,4
PC,TRN,AT,2000-01-01,9
PC,TRN,AT,2001-01-01,9
PC,TRN,AT,2002-01-01,9
PC,TRN,AT,2003-01-01,9
PC,TRN,AT,2004-01-01,9
PC,TRN,AT,2005-01-01,9
PC,TRN,AT,2006-01-01,10
PC,TRN,AT,2007-01-01,10
