unit,incgrp,hhtyp,n_item,geotime,date,value
PC,TOTAL,TOTAL,0,PT,2006-01-01,66
PC,TOTAL,TOTAL,0,PT,2007-01-01,68
PC,TOTAL,TOTAL,0,PT,2008-01-01,73
PC,TOTAL,TOTAL,0,PT,2009-01-01,75
PC,TOTAL,TOTAL,0,PT,2010-01-01,74
PC,TOTAL,TOTAL,0,PT,2011-01-01,74
PC,TOTAL,TOTAL,0,PT,2012-01-01,71
PC,TOTAL,TOTAL,0,PT,2013-01-01,63
PC,TOTAL,TOTAL,0,PT,2014-01-01,61
PC,TOTAL,TOTAL,0,PT,2015-01-01,67
PC,TOTAL,TOTAL,0,PT,2016-01-01,64
PC,TOTAL,TOTAL,0,PT,2017-01-01,66
PC,TOTAL,TOTAL,0,RO,2006-01-01,
PC,TOTAL,TOTAL,0,RO,2007-01-01,42
PC,TOTAL,TOTAL,0,RO,2008-01-01,47
PC,TOTAL,TOTAL,0,RO,2009-01-01,48
PC,TOTAL,TOTAL,0,RO,2010-01-01,50
PC,TOTAL,TOTAL,0,RO,2011-01-01,52
PC,TOTAL,TOTAL,0,RO,2012-01-01,56
PC,TOTAL,TOTAL,0,RO,2013-01-01,56
PC,TOTAL,TOTAL,0,RO,2014-01-01,59
PC,TOTAL,TOTAL,0,RO,2015-01-01,61
PC,TOTAL,TOTAL,0,RO,2016-01-01,61
PC,TOTAL,TOTAL,0,RO,2017-01-01,64
PC,TOTAL,TOTAL,0,RS,2006-01-01,
PC,TOTAL,TOTAL,0,RS,2007-01-01,
PC,TOTAL,TOTAL,0,RS,2008-01-01,
PC,TOTAL,TOTAL,0,RS,2009-01-01,
PC,TOTAL,TOTAL,0,RS,2010-01-01,
PC,TOTAL,TOTAL,0,RS,2011-01-01,
PC,TOTAL,TOTAL,0,RS,2012-01-01,
PC,TOTAL,TOTAL,0,RS,2013-01-01,74
PC,TOTAL,TOTAL,0,RS,2014-01-01,69
PC,TOTAL,TOTAL,0,RS,2015-01-01,71
PC,TOTAL,TOTAL,0,RS,2016-01-01,74
PC,TOTAL,TOTAL,0,RS,2017-01-01,
PC,TOTAL,TOTAL,0,SE,2006-01-01,88
PC,TOTAL,TOTAL,0,SE,2007-01-01,87
PC,TOTAL,TOTAL,0,SE,2008-01-01,86
PC,TOTAL,TOTAL,0,SE,2009-01-01,87
PC,TOTAL,TOTAL,0,SE,2010-01-01,86
PC,TOTAL,TOTAL,0,SE,2011-01-01,85
PC,TOTAL,TOTAL,0,SE,2012-01-01,87
PC,TOTAL,TOTAL,0,SE,2013-01-01,86
PC,TOTAL,TOTAL,0,SE,2014-01-01,86
