indic_il,sex,age,geotime,date,value
LI_GAP_MD60,T,TOTAL,LV,2000-01-01,23.0
LI_GAP_MD60,T,TOTAL,LV,2001-01-01,
LI_GAP_MD60,T,TOTAL,LV,2002-01-01,
LI_GAP_MD60,T,TOTAL,LV,2003-01-01,
LI_GAP_MD60,T,TOTAL,LV,2004-01-01,
LI_GAP_MD60,T,TOTAL,LV,2005-01-01,27.5
LI_GAP_MD60,T,TOTAL,LV,2006-01-01,24.4
LI_GAP_MD60,T,TOTAL,LV,2007-01-01,24.8
LI_GAP_MD60,T,TOTAL,LV,2008-01-01,28.6
LI_GAP_MD60,T,TOTAL,LV,2009-01-01,29.0
LI_GAP_MD60,T,TOTAL,LV,2010-01-01,28.9
LI_GAP_MD60,T,TOTAL,LV,2011-01-01,31.7
LI_GAP_MD60,T,TOTAL,LV,2012-01-01,28.6
LI_GAP_MD60,T,TOTAL,LV,2013-01-01,27.5
LI_GAP_MD60,T,TOTAL,LV,2014-01-01,23.6
LI_GAP_MD60,T,TOTAL,LV,2015-01-01,25.5
LI_GAP_MD60,T,TOTAL,LV,2016-01-01,24.0
LI_GAP_MD60,T,TOTAL,LV,2017-01-01,25.3
LI_GAP_MD60,T,TOTAL,MK,2000-01-01,
LI_GAP_MD60,T,TOTAL,MK,2001-01-01,
LI_GAP_MD60,T,TOTAL,MK,2002-01-01,
LI_GAP_MD60,T,TOTAL,MK,2003-01-01,
LI_GAP_MD60,T,TOTAL,MK,2004-01-01,
LI_GAP_MD60,T,TOTAL,MK,2005-01-01,
LI_GAP_MD60,T,TOTAL,MK,2006-01-01,
LI_GAP_MD60,T,TOTAL,MK,2007-01-01,
LI_GAP_MD60,T,TOTAL,MK,2008-01-01,
LI_GAP_MD60,T,TOTAL,MK,2009-01-01,
LI_GAP_MD60,T,TOTAL,MK,2010-01-01,
LI_GAP_MD60,T,TOTAL,MK,2011-01-01,
LI_GAP_MD60,T,TOTAL,MK,2012-01-01,43.1
LI_GAP_MD60,T,TOTAL,MK,2013-01-01,39.0
LI_GAP_MD60,T,TOTAL,MK,2014-01-01,36.1
LI_GAP_MD60,T,TOTAL,MK,2015-01-01,33.1
LI_GAP_MD60,T,TOTAL,MK,2016-01-01,32.9
LI_GAP_MD60,T,TOTAL,MK,2017-01-01,
LI_GAP_MD60,T,TOTAL,MT,2000-01-01,17.0
LI_GAP_MD60,T,TOTAL,MT,2001-01-01,
LI_GAP_MD60,T,TOTAL,MT,2002-01-01,
LI_GAP_MD60,T,TOTAL,MT,2003-01-01,
LI_GAP_MD60,T,TOTAL,MT,2004-01-01,
LI_GAP_MD60,T,TOTAL,MT,2005-01-01,16.9
LI_GAP_MD60,T,TOTAL,MT,2006-01-01,18.2
LI_GAP_MD60,T,TOTAL,MT,2007-01-01,18.1
LI_GAP_MD60,T,TOTAL,MT,2008-01-01,20.3
LI_GAP_MD60,T,TOTAL,MT,2009-01-01,16.2
LI_GAP_MD60,T,TOTAL,MT,2010-01-01,17.3
LI_GAP_MD60,T,TOTAL,MT,2011-01-01,17.7
LI_GAP_MD60,T,TOTAL,MT,2012-01-01,16.1
LI_GAP_MD60,T,TOTAL,MT,2013-01-01,19.1
LI_GAP_MD60,T,TOTAL,MT,2014-01-01,17.8
LI_GAP_MD60,T,TOTAL,MT,2015-01-01,17.3
LI_GAP_MD60,T,TOTAL,MT,2016-01-01,15.9
LI_GAP_MD60,T,TOTAL,MT,2017-01-01,16.7
LI_GAP_MD60,T,TOTAL,NL,2000-01-01,17.0
LI_GAP_MD60,T,TOTAL,NL,2001-01-01,17.0
LI_GAP_MD60,T,TOTAL,NL,2002-01-01,18.0
LI_GAP_MD60,T,TOTAL,NL,2003-01-01,
