nace_r2,unit,indic_bt,geo\time,date,value
F,I2015_SCA,EMPL,SE,2017-04-01,107.0 s
F,I2015_SCA,EMPL,SE,2017-07-01,110.8 s
F,I2015_SCA,EMPL,SE,2017-10-01,110.3 s
F,I2015_SCA,EMPL,SE,2018-01-01,113.1 s
F,I2015_SCA,EMPL,SE,2018-04-01,115.6 s
F,I2015_SCA,EMPL,SI,2015-07-01,99.8 s
F,I2015_SCA,EMPL,SI,2015-10-01,99.6 s
F,I2015_SCA,EMPL,SI,2016-01-01,98.8 s
F,I2015_SCA,EMPL,SI,2016-04-01,99.0 s
F,I2015_SCA,EMPL,SI,2016-07-01,99.4 s
F,I2015_SCA,EMPL,SI,2016-10-01,99.8 s
F,I2015_SCA,EMPL,SI,2017-01-01,100.8 s
F,I2015_SCA,EMPL,SI,2017-04-01,102.1 s
F,I2015_SCA,EMPL,SI,2017-07-01,103.2 s
F,I2015_SCA,EMPL,SI,2017-10-01,104.4 s
F,I2015_SCA,EMPL,SI,2018-01-01,105.3 s
F,I2015_SCA,EMPL,SI,2018-04-01,105.6 s
F,I2015_SCA,EMPL,SK,2015-07-01,99.6 s
F,I2015_SCA,EMPL,SK,2015-10-01,100.8 s
F,I2015_SCA,EMPL,SK,2016-01-01,101.9 s
F,I2015_SCA,EMPL,SK,2016-04-01,101.3 s
F,I2015_SCA,EMPL,SK,2016-07-01,100.9 s
F,I2015_SCA,EMPL,SK,2016-10-01,100.8 s
F,I2015_SCA,EMPL,SK,2017-01-01,101.9 s
F,I2015_SCA,EMPL,SK,2017-04-01,103.8 s
F,I2015_SCA,EMPL,SK,2017-07-01,104.7 ps
F,I2015_SCA,EMPL,SK,2017-10-01,104.3 s
F,I2015_SCA,EMPL,SK,2018-01-01,105.0 s
F,I2015_SCA,EMPL,SK,2018-04-01,105.9 s
F,I2015_SCA,EMPL,TR,2015-07-01,100.7 
F,I2015_SCA,EMPL,TR,2015-10-01,102.4 
F,I2015_SCA,EMPL,TR,2016-01-01,104.4 
F,I2015_SCA,EMPL,TR,2016-04-01,104.9 
F,I2015_SCA,EMPL,TR,2016-07-01,103.8 
F,I2015_SCA,EMPL,TR,2016-10-01,104.3 
F,I2015_SCA,EMPL,TR,2017-01-01,103.7 
F,I2015_SCA,EMPL,TR,2017-04-01,107.4 
F,I2015_SCA,EMPL,TR,2017-07-01,111.1 
F,I2015_SCA,EMPL,TR,2017-10-01,112.5 
