nutrient,indic_ag,geo,unittime,date,value
N,BAL_UAA,NO,KG,2009-01-01,101.0
N,BAL_UAA,NO,KG,2010-01-01,96.0
N,BAL_UAA,NO,KG,2011-01-01,110.0
N,BAL_UAA,NO,KG,2012-01-01,103.0
N,BAL_UAA,NO,KG,2013-01-01,116.0
N,BAL_UAA,NO,KG,2014-01-01,105.0
N,BAL_UAA,NO,KG,2015-01-01,100.0
N,BAL_UAA,NO,KG,2016-01-01,106.0
N,BAL_UAA,PL,KG,2000-01-01,44.0
N,BAL_UAA,PL,KG,2001-01-01,40.0
N,BAL_UAA,PL,KG,2002-01-01,45.0
N,BAL_UAA,PL,KG,2003-01-01,51.0
N,BAL_UAA,PL,KG,2004-01-01,39.0
N,BAL_UAA,PL,KG,2005-01-01,45.0
N,BAL_UAA,PL,KG,2006-01-01,62.0
N,BAL_UAA,PL,KG,2007-01-01,52.0
N,BAL_UAA,PL,KG,2008-01-01,57.0
N,BAL_UAA,PL,KG,2009-01-01,48.0
N,BAL_UAA,PL,KG,2010-01-01,52.0
N,BAL_UAA,PL,KG,2011-01-01,53.0
N,BAL_UAA,PL,KG,2012-01-01,48.0
N,BAL_UAA,PL,KG,2013-01-01,55.0
N,BAL_UAA,PL,KG,2014-01-01,40.0
N,BAL_UAA,PL,KG,2015-01-01,48.0
N,BAL_UAA,PL,KG,2016-01-01,
N,BAL_UAA,PT,KG,2000-01-01,39.0
N,BAL_UAA,PT,KG,2001-01-01,47.0
N,BAL_UAA,PT,KG,2002-01-01,36.0
N,BAL_UAA,PT,KG,2003-01-01,42.0
N,BAL_UAA,PT,KG,2004-01-01,39.0
N,BAL_UAA,PT,KG,2005-01-01,44.0
N,BAL_UAA,PT,KG,2006-01-01,28.0
N,BAL_UAA,PT,KG,2007-01-01,43.0
N,BAL_UAA,PT,KG,2008-01-01,33.0
N,BAL_UAA,PT,KG,2009-01-01,36.0
N,BAL_UAA,PT,KG,2010-01-01,41.0
N,BAL_UAA,PT,KG,2011-01-01,39.0
N,BAL_UAA,PT,KG,2012-01-01,43.0
N,BAL_UAA,PT,KG,2013-01-01,37.0
N,BAL_UAA,PT,KG,2014-01-01,42.0
N,BAL_UAA,PT,KG,2015-01-01,41.0
N,BAL_UAA,PT,KG,2016-01-01,42.0
N,BAL_UAA,RO,KG,2000-01-01,13.0
N,BAL_UAA,RO,KG,2001-01-01,7.0
N,BAL_UAA,RO,KG,2002-01-01,12.0
N,BAL_UAA,RO,KG,2003-01-01,14.0
N,BAL_UAA,RO,KG,2004-01-01,0.0
N,BAL_UAA,RO,KG,2005-01-01,12.0
N,BAL_UAA,RO,KG,2006-01-01,13.0
N,BAL_UAA,RO,KG,2007-01-01,32.0
N,BAL_UAA,RO,KG,2008-01-01,14.0
N,BAL_UAA,RO,KG,2009-01-01,18.0
N,BAL_UAA,RO,KG,2010-01-01,-1.0
N,BAL_UAA,RO,KG,2011-01-01,-11.0
N,BAL_UAA,RO,KG,2012-01-01,16.0
N,BAL_UAA,RO,KG,2013-01-01,4.0
N,BAL_UAA,RO,KG,2014-01-01,-1.0
N,BAL_UAA,RO,KG,2015-01-01,9.0
N,BAL_UAA,RO,KG,2016-01-01,4.0
N,BAL_UAA,SE,KG,2000-01-01,51.0
N,BAL_UAA,SE,KG,2001-01-01,54.0
N,BAL_UAA,SE,KG,2002-01-01,47.0
N,BAL_UAA,SE,KG,2003-01-01,47.0
N,BAL_UAA,SE,KG,2004-01-01,44.0
N,BAL_UAA,SE,KG,2005-01-01,44.0
N,BAL_UAA,SE,KG,2006-01-01,50.0
N,BAL_UAA,SE,KG,2007-01-01,45.0
N,BAL_UAA,SE,KG,2008-01-01,51.0
N,BAL_UAA,SE,KG,2009-01-01,30.0
N,BAL_UAA,SE,KG,2010-01-01,42.0
N,BAL_UAA,SE,KG,2011-01-01,42.0
N,BAL_UAA,SE,KG,2012-01-01,32.0
N,BAL_UAA,SE,KG,2013-01-01,35.0
N,BAL_UAA,SE,KG,2014-01-01,31.0
N,BAL_UAA,SE,KG,2015-01-01,32.0
N,BAL_UAA,SE,KG,2016-01-01,37.0
N,BAL_UAA,SI,KG,2000-01-01,86.0
N,BAL_UAA,SI,KG,2001-01-01,86.0
N,BAL_UAA,SI,KG,2002-01-01,68.0
