unit,age,sex,indic_il,geotime,date,value
PC,TOTAL,T,LI_R_MD40,SE,2013-01-01,
PC,TOTAL,T,LI_R_MD40,SE,2014-01-01,
PC,TOTAL,T,LI_R_MD40,SE,2015-01-01,
PC,TOTAL,T,LI_R_MD40,SE,2016-01-01,5
PC,TOTAL,T,LI_R_MD40,SE,2017-01-01,4
PC,TOTAL,T,LI_R_MD40,SI,2006-01-01,2
PC,TOTAL,T,LI_R_MD40,SI,2007-01-01,2
PC,TOTAL,T,LI_R_MD40,SI,2008-01-01,3
PC,TOTAL,T,LI_R_MD40,SI,2009-01-01,2
PC,TOTAL,T,LI_R_MD40,SI,2010-01-01,3
PC,TOTAL,T,LI_R_MD40,SI,2011-01-01,3
PC,TOTAL,T,LI_R_MD40,SI,2012-01-01,3
PC,TOTAL,T,LI_R_MD40,SI,2013-01-01,
PC,TOTAL,T,LI_R_MD40,SI,2014-01-01,
PC,TOTAL,T,LI_R_MD40,SI,2015-01-01,
PC,TOTAL,T,LI_R_MD40,SI,2016-01-01,4
PC,TOTAL,T,LI_R_MD40,SI,2017-01-01,3
PC,TOTAL,T,LI_R_MD40,SK,2006-01-01,3
PC,TOTAL,T,LI_R_MD40,SK,2007-01-01,2
PC,TOTAL,T,LI_R_MD40,SK,2008-01-01,3
PC,TOTAL,T,LI_R_MD40,SK,2009-01-01,3
PC,TOTAL,T,LI_R_MD40,SK,2010-01-01,5
PC,TOTAL,T,LI_R_MD40,SK,2011-01-01,4
PC,TOTAL,T,LI_R_MD40,SK,2012-01-01,4
PC,TOTAL,T,LI_R_MD40,SK,2013-01-01,
PC,TOTAL,T,LI_R_MD40,SK,2014-01-01,
PC,TOTAL,T,LI_R_MD40,SK,2015-01-01,
PC,TOTAL,T,LI_R_MD40,SK,2016-01-01,5
PC,TOTAL,T,LI_R_MD40,SK,2017-01-01,5
PC,TOTAL,T,LI_R_MD40,TR,2006-01-01,14
PC,TOTAL,T,LI_R_MD40,TR,2007-01-01,10
PC,TOTAL,T,LI_R_MD40,TR,2008-01-01,11
