worktime,geotime,date,value
PT,EA18,2008-01-01,11.8
PT,EA18,2009-01-01,11.4
PT,EA18,2010-01-01,11.6
PT,EA18,2011-01-01,12.3
PT,EA18,2012-01-01,12.5
PT,EA18,2013-01-01,13.4
PT,EA18,2014-01-01,14.2
PT,EA18,2015-01-01,14.6
PT,EA18,2016-01-01,14.8
PT,EA18,2017-01-01,14.5
PT,EA19,2006-01-01,9.7
PT,EA19,2007-01-01,10.9
PT,EA19,2008-01-01,11.8
PT,EA19,2009-01-01,11.5
PT,EA19,2010-01-01,11.6
PT,EA19,2011-01-01,12.3
PT,EA19,2012-01-01,12.5
PT,EA19,2013-01-01,13.4
PT,EA19,2014-01-01,14.2
PT,EA19,2015-01-01,14.7
PT,EA19,2016-01-01,14.8
PT,EA19,2017-01-01,14.5
PT,EE,2006-01-01,13.2
PT,EE,2007-01-01,15.7
PT,EE,2008-01-01,12.8
PT,EE,2009-01-01,13.1
PT,EE,2010-01-01,13.0
PT,EE,2011-01-01,11.5
PT,EE,2012-01-01,18.9
PT,EE,2013-01-01,16.4
PT,EE,2014-01-01,20.2
PT,EE,2015-01-01,18.1
PT,EE,2016-01-01,15.0
PT,EE,2017-01-01,18.4
PT,EL,2006-01-01,26.1
PT,EL,2007-01-01,27.2
PT,EL,2008-01-01,26.0
PT,EL,2009-01-01,26.9
PT,EL,2010-01-01,29.4
PT,EL,2011-01-01,21.4
PT,EL,2012-01-01,27.3
PT,EL,2013-01-01,27.0
PT,EL,2014-01-01,27.9
PT,EL,2015-01-01,28.2
PT,EL,2016-01-01,30.3
PT,EL,2017-01-01,27.5
PT,ES,2006-01-01,12.5
PT,ES,2007-01-01,14.6
PT,ES,2008-01-01,22.2
PT,ES,2009-01-01,21.1
PT,ES,2010-01-01,19.3
PT,ES,2011-01-01,19.0
PT,ES,2012-01-01,21.2
PT,ES,2013-01-01,18.7
PT,ES,2014-01-01,22.9
PT,ES,2015-01-01,27.1
PT,ES,2016-01-01,24.3
PT,ES,2017-01-01,26.9
PT,EU27,2006-01-01,11.5
PT,EU27,2007-01-01,12.1
PT,EU27,2008-01-01,12.8
PT,EU27,2009-01-01,12.9
PT,EU27,2010-01-01,12.5
PT,EU27,2011-01-01,13.5
PT,EU27,2012-01-01,13.7
PT,EU27,2013-01-01,14.7
PT,EU27,2014-01-01,15.7
PT,EU27,2015-01-01,15.3
PT,EU27,2016-01-01,15.8
PT,EU27,2017-01-01,15.8
PT,EU28,2006-01-01,
PT,EU28,2007-01-01,
PT,EU28,2008-01-01,
PT,EU28,2009-01-01,
PT,EU28,2010-01-01,12.5
PT,EU28,2011-01-01,13.5
PT,EU28,2012-01-01,13.8
PT,EU28,2013-01-01,14.7
PT,EU28,2014-01-01,15.7
PT,EU28,2015-01-01,15.3
PT,EU28,2016-01-01,15.8
PT,EU28,2017-01-01,15.8
PT,FI,2006-01-01,10.1
PT,FI,2007-01-01,14.8
PT,FI,2008-01-01,14.2
PT,FI,2009-01-01,10.0
PT,FI,2010-01-01,6.7
PT,FI,2011-01-01,6.5
PT,FI,2012-01-01,9.3
PT,FI,2013-01-01,10.6
PT,FI,2014-01-01,8.5
PT,FI,2015-01-01,9.0
PT,FI,2016-01-01,6.4
PT,FI,2017-01-01,7.5
PT,FR,2006-01-01,10.1
PT,FR,2007-01-01,10.9
PT,FR,2008-01-01,10.5
PT,FR,2009-01-01,11.2
PT,FR,2010-01-01,11.2
PT,FR,2011-01-01,13.7
PT,FR,2012-01-01,13.0
PT,FR,2013-01-01,13.1
PT,FR,2014-01-01,13.3
PT,FR,2015-01-01,13.2
PT,FR,2016-01-01,13.5
PT,FR,2017-01-01,13.2
PT,HR,2006-01-01,
PT,HR,2007-01-01,
PT,HR,2008-01-01,
PT,HR,2009-01-01,
PT,HR,2010-01-01,18.5
PT,HR,2011-01-01,25.8
PT,HR,2012-01-01,19.7
PT,HR,2013-01-01,26.2
PT,HR,2014-01-01,9.9
PT,HR,2015-01-01,20.4
PT,HR,2016-01-01,15.9
PT,HR,2017-01-01,
PT,HU,2006-01-01,14.6
PT,HU,2007-01-01,16.7
PT,HU,2008-01-01,16.3
PT,HU,2009-01-01,21.8
PT,HU,2010-01-01,14.0
PT,HU,2011-01-01,16.8
PT,HU,2012-01-01,15.8
PT,HU,2013-01-01,17.9
PT,HU,2014-01-01,20.1
PT,HU,2015-01-01,18.2
PT,HU,2016-01-01,22.0
PT,HU,2017-01-01,
PT,IE,2006-01-01,10.7
PT,IE,2007-01-01,11.3
PT,IE,2008-01-01,11.6
PT,IE,2009-01-01,8.8
PT,IE,2010-01-01,6.5
PT,IE,2011-01-01,10.2
PT,IE,2012-01-01,10.2
PT,IE,2013-01-01,8.7
PT,IE,2014-01-01,10.7
PT,IE,2015-01-01,9.7
PT,IE,2016-01-01,9.5
PT,IE,2017-01-01,
PT,IS,2006-01-01,7.0
PT,IS,2007-01-01,6.4
