unit,bop_item,stk_flow,partner,geotime,date,value
PC_WRL,G,CRE,WRL_REST,IE,2003-01-01,1.21
PC_WRL,G,CRE,WRL_REST,IE,2004-01-01,1.16
PC_WRL,G,CRE,WRL_REST,IE,2005-01-01,1.08
PC_WRL,G,CRE,WRL_REST,IE,2006-01-01,0.98
PC_WRL,G,CRE,WRL_REST,IE,2007-01-01,1.0
PC_WRL,G,CRE,WRL_REST,IE,2008-01-01,0.9
PC_WRL,G,CRE,WRL_REST,IE,2009-01-01,1.11
PC_WRL,G,CRE,WRL_REST,IE,2010-01-01,0.92
PC_WRL,G,CRE,WRL_REST,IE,2011-01-01,0.78
PC_WRL,G,CRE,WRL_REST,IE,2012-01-01,0.72
PC_WRL,G,CRE,WRL_REST,IE,2013-01-01,0.71
PC_WRL,G,CRE,WRL_REST,IE,2014-01-01,0.82
PC_WRL,G,CRE,WRL_REST,IE,2015-01-01,1.37
PC_WRL,G,CRE,WRL_REST,IE,2016-01-01,1.36
PC_WRL,G,CRE,WRL_REST,IE,2017-01-01,1.25
PC_WRL,G,CRE,WRL_REST,IT,1995-01-01,4.99
PC_WRL,G,CRE,WRL_REST,IT,1996-01-01,4.7
PC_WRL,G,CRE,WRL_REST,IT,1997-01-01,4.24
PC_WRL,G,CRE,WRL_REST,IT,1998-01-01,4.43
PC_WRL,G,CRE,WRL_REST,IT,1999-01-01,4.06
PC_WRL,G,CRE,WRL_REST,IT,2000-01-01,3.68
PC_WRL,G,CRE,WRL_REST,IT,2001-01-01,3.91
PC_WRL,G,CRE,WRL_REST,IT,2002-01-01,3.88
PC_WRL,G,CRE,WRL_REST,IT,2003-01-01,3.93
PC_WRL,G,CRE,WRL_REST,IT,2004-01-01,3.81
PC_WRL,G,CRE,WRL_REST,IT,2005-01-01,3.52
PC_WRL,G,CRE,WRL_REST,IT,2006-01-01,3.4
PC_WRL,G,CRE,WRL_REST,IT,2007-01-01,3.58
PC_WRL,G,CRE,WRL_REST,IT,2008-01-01,3.39
PC_WRL,G,CRE,WRL_REST,IT,2009-01-01,3.25
PC_WRL,G,CRE,WRL_REST,IT,2010-01-01,2.92
PC_WRL,G,CRE,WRL_REST,IT,2011-01-01,2.83
PC_WRL,G,CRE,WRL_REST,IT,2012-01-01,2.67
PC_WRL,G,CRE,WRL_REST,IT,2013-01-01,2.71
PC_WRL,G,CRE,WRL_REST,IT,2014-01-01,2.78
PC_WRL,G,CRE,WRL_REST,IT,2015-01-01,2.78
PC_WRL,G,CRE,WRL_REST,IT,2016-01-01,2.88
PC_WRL,G,CRE,WRL_REST,IT,2017-01-01,2.85
PC_WRL,G,CRE,WRL_REST,LT,1995-01-01,
PC_WRL,G,CRE,WRL_REST,LT,1996-01-01,
PC_WRL,G,CRE,WRL_REST,LT,1997-01-01,
PC_WRL,G,CRE,WRL_REST,LT,1998-01-01,
PC_WRL,G,CRE,WRL_REST,LT,1999-01-01,
PC_WRL,G,CRE,WRL_REST,LT,2000-01-01,
PC_WRL,G,CRE,WRL_REST,LT,2001-01-01,
PC_WRL,G,CRE,WRL_REST,LT,2002-01-01,
PC_WRL,G,CRE,WRL_REST,LT,2003-01-01,
PC_WRL,G,CRE,WRL_REST,LT,2004-01-01,0.09
PC_WRL,G,CRE,WRL_REST,LT,2005-01-01,0.11
PC_WRL,G,CRE,WRL_REST,LT,2006-01-01,0.11
PC_WRL,G,CRE,WRL_REST,LT,2007-01-01,0.12
PC_WRL,G,CRE,WRL_REST,LT,2008-01-01,0.14
PC_WRL,G,CRE,WRL_REST,LT,2009-01-01,0.13
PC_WRL,G,CRE,WRL_REST,LT,2010-01-01,0.13
PC_WRL,G,CRE,WRL_REST,LT,2011-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LT,2012-01-01,0.16
PC_WRL,G,CRE,WRL_REST,LT,2013-01-01,0.17
PC_WRL,G,CRE,WRL_REST,LT,2014-01-01,0.17
PC_WRL,G,CRE,WRL_REST,LT,2015-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LT,2016-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LT,2017-01-01,0.17
PC_WRL,G,CRE,WRL_REST,LU,1995-01-01,0.16
PC_WRL,G,CRE,WRL_REST,LU,1996-01-01,0.14
PC_WRL,G,CRE,WRL_REST,LU,1997-01-01,0.14
PC_WRL,G,CRE,WRL_REST,LU,1998-01-01,0.16
PC_WRL,G,CRE,WRL_REST,LU,1999-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LU,2000-01-01,0.13
PC_WRL,G,CRE,WRL_REST,LU,2001-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LU,2002-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LU,2003-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LU,2004-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LU,2005-01-01,0.14
PC_WRL,G,CRE,WRL_REST,LU,2006-01-01,0.14
PC_WRL,G,CRE,WRL_REST,LU,2007-01-01,0.14
PC_WRL,G,CRE,WRL_REST,LU,2008-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LU,2009-01-01,0.14
PC_WRL,G,CRE,WRL_REST,LU,2010-01-01,0.13
PC_WRL,G,CRE,WRL_REST,LU,2011-01-01,0.13
PC_WRL,G,CRE,WRL_REST,LU,2012-01-01,0.12
PC_WRL,G,CRE,WRL_REST,LU,2013-01-01,0.14
PC_WRL,G,CRE,WRL_REST,LU,2014-01-01,0.15
PC_WRL,G,CRE,WRL_REST,LU,2015-01-01,0.13
PC_WRL,G,CRE,WRL_REST,LU,2016-01-01,0.13
