sex,wstatus,age,unit,geotime,date,value
T,POP,Y18-24,PC,NL,2009-01-01,10
T,POP,Y18-24,PC,NL,2010-01-01,10
T,POP,Y18-24,PC,NL,2011-01-01,9
T,POP,Y18-24,PC,NL,2012-01-01,
T,POP,Y18-24,PC,NL,2013-01-01,9
T,POP,Y18-24,PC,NL,2014-01-01,8
T,POP,Y18-24,PC,NL,2015-01-01,8
T,POP,Y18-24,PC,NL,2016-01-01,8
T,POP,Y18-24,PC,NL,2017-01-01,7
T,POP,Y18-24,PC,NO,2005-01-01,4
T,POP,Y18-24,PC,NO,2006-01-01,17
T,POP,Y18-24,PC,NO,2007-01-01,18
T,POP,Y18-24,PC,NO,2008-01-01,17
T,POP,Y18-24,PC,NO,2009-01-01,17
T,POP,Y18-24,PC,NO,2010-01-01,17
T,POP,Y18-24,PC,NO,2011-01-01,16
T,POP,Y18-24,PC,NO,2012-01-01,
T,POP,Y18-24,PC,NO,2013-01-01,13
T,POP,Y18-24,PC,NO,2014-01-01,11
T,POP,Y18-24,PC,NO,2015-01-01,10
T,POP,Y18-24,PC,NO,2016-01-01,10
T,POP,Y18-24,PC,NO,2017-01-01,10
T,POP,Y18-24,PC,PL,2005-01-01,5
T,POP,Y18-24,PC,PL,2006-01-01,5
T,POP,Y18-24,PC,PL,2007-01-01,5
T,POP,Y18-24,PC,PL,2008-01-01,5
T,POP,Y18-24,PC,PL,2009-01-01,5
T,POP,Y18-24,PC,PL,2010-01-01,5
T,POP,Y18-24,PC,PL,2011-01-01,5
T,POP,Y18-24,PC,PL,2012-01-01,
T,POP,Y18-24,PC,PL,2013-01-01,5
T,POP,Y18-24,PC,PL,2014-01-01,5
T,POP,Y18-24,PC,PL,2015-01-01,5
T,POP,Y18-24,PC,PL,2016-01-01,5
T,POP,Y18-24,PC,PL,2017-01-01,5
T,POP,Y18-24,PC,PT,2005-01-01,38
T,POP,Y18-24,PC,PT,2006-01-01,38
T,POP,Y18-24,PC,PT,2007-01-01,36
T,POP,Y18-24,PC,PT,2008-01-01,34
T,POP,Y18-24,PC,PT,2009-01-01,30
T,POP,Y18-24,PC,PT,2010-01-01,28
T,POP,Y18-24,PC,PT,2011-01-01,23
T,POP,Y18-24,PC,PT,2012-01-01,
T,POP,Y18-24,PC,PT,2013-01-01,18
T,POP,Y18-24,PC,PT,2014-01-01,17
T,POP,Y18-24,PC,PT,2015-01-01,13
T,POP,Y18-24,PC,PT,2016-01-01,14
T,POP,Y18-24,PC,PT,2017-01-01,12
T,POP,Y18-24,PC,RO,2005-01-01,19
T,POP,Y18-24,PC,RO,2006-01-01,17
T,POP,Y18-24,PC,RO,2007-01-01,17
T,POP,Y18-24,PC,RO,2008-01-01,15
T,POP,Y18-24,PC,RO,2009-01-01,16
T,POP,Y18-24,PC,RO,2010-01-01,19
T,POP,Y18-24,PC,RO,2011-01-01,18
T,POP,Y18-24,PC,RO,2012-01-01,
T,POP,Y18-24,PC,RO,2013-01-01,17
T,POP,Y18-24,PC,RO,2014-01-01,18
T,POP,Y18-24,PC,RO,2015-01-01,19
T,POP,Y18-24,PC,RO,2016-01-01,18
T,POP,Y18-24,PC,RO,2017-01-01,18
T,POP,Y18-24,PC,SE,2005-01-01,10
T,POP,Y18-24,PC,SE,2006-01-01,8
T,POP,Y18-24,PC,SE,2007-01-01,8
T,POP,Y18-24,PC,SE,2008-01-01,7
T,POP,Y18-24,PC,SE,2009-01-01,7
T,POP,Y18-24,PC,SE,2010-01-01,6
T,POP,Y18-24,PC,SE,2011-01-01,6
T,POP,Y18-24,PC,SE,2012-01-01,
T,POP,Y18-24,PC,SE,2013-01-01,7
