hhtyp,indic_il,currency,geotime,date,value
A1,LI_C_MD60,PPS,SI,2008-01-01,8287
A1,LI_C_MD60,PPS,SI,2009-01-01,8599
A1,LI_C_MD60,PPS,SI,2010-01-01,8009
A1,LI_C_MD60,PPS,SI,2011-01-01,8364
A1,LI_C_MD60,PPS,SI,2012-01-01,8563
A1,LI_C_MD60,PPS,SI,2013-01-01,
A1,LI_C_MD60,PPS,SI,2014-01-01,8597
A1,LI_C_MD60,PPS,SI,2015-01-01,
A1,LI_C_MD60,PPS,SI,2016-01-01,9149
A1,LI_C_MD60,PPS,SI,2017-01-01,9098
A1,LI_C_MD60,PPS,SK,2006-01-01,2772
A1,LI_C_MD60,PPS,SK,2007-01-01,3365
A1,LI_C_MD60,PPS,SK,2008-01-01,4058
A1,LI_C_MD60,PPS,SK,2009-01-01,4694
A1,LI_C_MD60,PPS,SK,2010-01-01,5016
A1,LI_C_MD60,PPS,SK,2011-01-01,5385
A1,LI_C_MD60,PPS,SK,2012-01-01,5879
A1,LI_C_MD60,PPS,SK,2013-01-01,
A1,LI_C_MD60,PPS,SK,2014-01-01,5883
A1,LI_C_MD60,PPS,SK,2015-01-01,
A1,LI_C_MD60,PPS,SK,2016-01-01,6281
A1,LI_C_MD60,PPS,SK,2017-01-01,6336
A1,LI_C_MD60,PPS,TR,2006-01-01,2116
A1,LI_C_MD60,PPS,TR,2007-01-01,2434
A1,LI_C_MD60,PPS,TR,2008-01-01,2486
A1,LI_C_MD60,PPS,TR,2009-01-01,2682
A1,LI_C_MD60,PPS,TR,2010-01-01,2608
A1,LI_C_MD60,PPS,TR,2011-01-01,2859
A1,LI_C_MD60,PPS,TR,2012-01-01,3112
A1,LI_C_MD60,PPS,TR,2013-01-01,
A1,LI_C_MD60,PPS,TR,2014-01-01,3274
A1,LI_C_MD60,PPS,TR,2015-01-01,
A1,LI_C_MD60,PPS,TR,2016-01-01,
A1,LI_C_MD60,PPS,TR,2017-01-01,
A1,LI_C_MD60,PPS,UK,2006-01-01,10578
A1,LI_C_MD60,PPS,UK,2007-01-01,11267
A1,LI_C_MD60,PPS,UK,2008-01-01,11126
A1,LI_C_MD60,PPS,UK,2009-01-01,10091
A1,LI_C_MD60,PPS,UK,2010-01-01,9521
A1,LI_C_MD60,PPS,UK,2011-01-01,9466
A1,LI_C_MD60,PPS,UK,2012-01-01,9868
A1,LI_C_MD60,PPS,UK,2013-01-01,
A1,LI_C_MD60,PPS,UK,2014-01-01,10138
A1,LI_C_MD60,PPS,UK,2015-01-01,
A1,LI_C_MD60,PPS,UK,2016-01-01,10421
A1,LI_C_MD60,PPS,UK,2017-01-01,
