unit,hhtyp,incgrp,sex,age,geotime,date,value
PC,TOTAL,A_MD60,T,TOTAL,NO,2013-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NO,2014-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NO,2015-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NO,2016-01-01,
PC,TOTAL,A_MD60,T,TOTAL,NO,2017-01-01,
PC,TOTAL,A_MD60,T,TOTAL,PL,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,PL,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,PL,2005-01-01,4
PC,TOTAL,A_MD60,T,TOTAL,PL,2006-01-01,4
PC,TOTAL,A_MD60,T,TOTAL,PL,2007-01-01,3
PC,TOTAL,A_MD60,T,TOTAL,PL,2008-01-01,3
PC,TOTAL,A_MD60,T,TOTAL,PL,2009-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,PL,2010-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,PL,2011-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,PL,2012-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PL,2013-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PL,2014-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PL,2015-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PL,2016-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PL,2017-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PT,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,PT,2004-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,PT,2005-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,PT,2006-01-01,2
PC,TOTAL,A_MD60,T,TOTAL,PT,2007-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PT,2008-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PT,2009-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PT,2010-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,PT,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,PT,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,PT,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,PT,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,PT,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,PT,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,PT,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,RO,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RO,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RO,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RO,2006-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RO,2007-01-01,29
PC,TOTAL,A_MD60,T,TOTAL,RO,2008-01-01,29
PC,TOTAL,A_MD60,T,TOTAL,RO,2009-01-01,29
PC,TOTAL,A_MD60,T,TOTAL,RO,2010-01-01,28
PC,TOTAL,A_MD60,T,TOTAL,RO,2011-01-01,26
PC,TOTAL,A_MD60,T,TOTAL,RO,2012-01-01,25
PC,TOTAL,A_MD60,T,TOTAL,RO,2013-01-01,23
PC,TOTAL,A_MD60,T,TOTAL,RO,2014-01-01,21
PC,TOTAL,A_MD60,T,TOTAL,RO,2015-01-01,18
PC,TOTAL,A_MD60,T,TOTAL,RO,2016-01-01,19
PC,TOTAL,A_MD60,T,TOTAL,RO,2017-01-01,17
PC,TOTAL,A_MD60,T,TOTAL,RS,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RS,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RS,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RS,2006-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RS,2007-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RS,2008-01-01,
