sex,age,unit,geo\time,date,value
T,Y25-74,PC_ACT,ES,2001-01-01,8.9 
T,Y25-74,PC_ACT,ES,2002-01-01,9.8 
T,Y25-74,PC_ACT,ES,2003-01-01,9.9 
T,Y25-74,PC_ACT,ES,2004-01-01,9.5 
T,Y25-74,PC_ACT,ES,2005-01-01,7.7 
T,Y25-74,PC_ACT,ES,2006-01-01,7.2 
T,Y25-74,PC_ACT,ES,2007-01-01,7.0
T,Y25-74,PC_ACT,ES,2008-01-01,9.7 
T,Y25-74,PC_ACT,ES,2009-01-01,15.7 
T,Y25-74,PC_ACT,ES,2010-01-01,17.8 
T,Y25-74,PC_ACT,ES,2011-01-01,19.2 
T,Y25-74,PC_ACT,ES,2012-01-01,22.5
T,Y25-74,PC_ACT,ES,2013-01-01,23.8
T,Y25-74,PC_ACT,ES,2014-01-01,22.3
T,Y25-74,PC_ACT,ES,2015-01-01,20.2
T,Y25-74,PC_ACT,ES,2016-01-01,17.9
T,Y25-74,PC_ACT,ES,2017-01-01,15.7 
T,Y25-74,PC_ACT,FI,1995-01-01,13.7 
T,Y25-74,PC_ACT,FI,1996-01-01,13.0 
T,Y25-74,PC_ACT,FI,1997-01-01,11.0 
T,Y25-74,PC_ACT,FI,1998-01-01,9.7 
T,Y25-74,PC_ACT,FI,1999-01-01,8.6 
T,Y25-74,PC_ACT,FI,2000-01-01,8.1 
T,Y25-74,PC_ACT,FI,2001-01-01,7.6 
T,Y25-74,PC_ACT,FI,2002-01-01,7.4 
T,Y25-74,PC_ACT,FI,2003-01-01,7.2 
T,Y25-74,PC_ACT,FI,2004-01-01,7.2 
T,Y25-74,PC_ACT,FI,2005-01-01,6.8 
T,Y25-74,PC_ACT,FI,2006-01-01,6.2 
T,Y25-74,PC_ACT,FI,2007-01-01,5.4
T,Y25-74,PC_ACT,FI,2008-01-01,4.9 
T,Y25-74,PC_ACT,FI,2009-01-01,6.4 
T,Y25-74,PC_ACT,FI,2010-01-01,6.6 
T,Y25-74,PC_ACT,FI,2011-01-01,6.1 
T,Y25-74,PC_ACT,FI,2012-01-01,6.1
T,Y25-74,PC_ACT,FI,2013-01-01,6.5
T,Y25-74,PC_ACT,FI,2014-01-01,7.0
T,Y25-74,PC_ACT,FI,2015-01-01,7.6
T,Y25-74,PC_ACT,FI,2016-01-01,7.3
T,Y25-74,PC_ACT,FI,2017-01-01,7.1 
T,Y25-74,PC_ACT,FR,1995-01-01,6.2 d
T,Y25-74,PC_ACT,FR,1996-01-01,6.3 
T,Y25-74,PC_ACT,FR,1997-01-01,6.3 
T,Y25-74,PC_ACT,FR,1998-01-01,6.1 
T,Y25-74,PC_ACT,FR,1999-01-01,6.0 
T,Y25-74,PC_ACT,FR,2000-01-01,5.2 
T,Y25-74,PC_ACT,FR,2001-01-01,4.8 
T,Y25-74,PC_ACT,FR,2002-01-01,4.7 
T,Y25-74,PC_ACT,FR,2003-01-01,7.3 
T,Y25-74,PC_ACT,FR,2004-01-01,7.5 
T,Y25-74,PC_ACT,FR,2005-01-01,7.4 
T,Y25-74,PC_ACT,FR,2006-01-01,7.3 
T,Y25-74,PC_ACT,FR,2007-01-01,6.7
T,Y25-74,PC_ACT,FR,2008-01-01,6.1 
T,Y25-74,PC_ACT,FR,2009-01-01,7.4 
T,Y25-74,PC_ACT,FR,2010-01-01,7.7 
T,Y25-74,PC_ACT,FR,2011-01-01,7.7 
T,Y25-74,PC_ACT,FR,2012-01-01,8.2
T,Y25-74,PC_ACT,FR,2013-01-01,8.8
T,Y25-74,PC_ACT,FR,2014-01-01,8.9
T,Y25-74,PC_ACT,FR,2015-01-01,8.9
T,Y25-74,PC_ACT,FR,2016-01-01,8.6
T,Y25-74,PC_ACT,FR,2017-01-01,8.1 
T,Y25-74,PC_ACT,HR,1995-01-01,: 
T,Y25-74,PC_ACT,HR,1996-01-01,: 
T,Y25-74,PC_ACT,HR,1997-01-01,: 
T,Y25-74,PC_ACT,HR,1998-01-01,: 
T,Y25-74,PC_ACT,HR,1999-01-01,: 
T,Y25-74,PC_ACT,HR,2000-01-01,12.2 
T,Y25-74,PC_ACT,HR,2001-01-01,12.3 
T,Y25-74,PC_ACT,HR,2002-01-01,12.1 
T,Y25-74,PC_ACT,HR,2003-01-01,11.3 
T,Y25-74,PC_ACT,HR,2004-01-01,11.3 
T,Y25-74,PC_ACT,HR,2005-01-01,10.6 
T,Y25-74,PC_ACT,HR,2006-01-01,9.6 d
T,Y25-74,PC_ACT,HR,2007-01-01,8.2
T,Y25-74,PC_ACT,HR,2008-01-01,6.9 
T,Y25-74,PC_ACT,HR,2009-01-01,7.6 
T,Y25-74,PC_ACT,HR,2010-01-01,9.6 
T,Y25-74,PC_ACT,HR,2011-01-01,11.5 
T,Y25-74,PC_ACT,HR,2012-01-01,13.4
T,Y25-74,PC_ACT,HR,2013-01-01,14.6
T,Y25-74,PC_ACT,HR,2014-01-01,14.6
T,Y25-74,PC_ACT,HR,2015-01-01,13.7
T,Y25-74,PC_ACT,HR,2016-01-01,11.4
T,Y25-74,PC_ACT,HR,2017-01-01,9.4 
T,Y25-74,PC_ACT,HU,1995-01-01,: 
T,Y25-74,PC_ACT,HU,1996-01-01,8.4 
T,Y25-74,PC_ACT,HU,1997-01-01,7.7 
T,Y25-74,PC_ACT,HU,1998-01-01,7.5 
T,Y25-74,PC_ACT,HU,1999-01-01,5.8 
T,Y25-74,PC_ACT,HU,2000-01-01,5.4 
T,Y25-74,PC_ACT,HU,2001-01-01,4.8 
T,Y25-74,PC_ACT,HU,2002-01-01,4.8 
T,Y25-74,PC_ACT,HU,2003-01-01,4.9 
T,Y25-74,PC_ACT,HU,2004-01-01,5.2 
T,Y25-74,PC_ACT,HU,2005-01-01,6.1 
T,Y25-74,PC_ACT,HU,2006-01-01,6.5 
T,Y25-74,PC_ACT,HU,2007-01-01,6.5
T,Y25-74,PC_ACT,HU,2008-01-01,6.9 d
T,Y25-74,PC_ACT,HU,2009-01-01,8.8 
T,Y25-74,PC_ACT,HU,2010-01-01,10.0 
T,Y25-74,PC_ACT,HU,2011-01-01,9.9 
T,Y25-74,PC_ACT,HU,2012-01-01,9.7
T,Y25-74,PC_ACT,HU,2013-01-01,8.9
T,Y25-74,PC_ACT,HU,2014-01-01,6.7
T,Y25-74,PC_ACT,HU,2015-01-01,6.0
T,Y25-74,PC_ACT,HU,2016-01-01,4.5
T,Y25-74,PC_ACT,HU,2017-01-01,3.6 
T,Y25-74,PC_ACT,IE,1995-01-01,10.6 
T,Y25-74,PC_ACT,IE,1996-01-01,10.2 
T,Y25-74,PC_ACT,IE,1997-01-01,8.6 
T,Y25-74,PC_ACT,IE,1998-01-01,6.6 
T,Y25-74,PC_ACT,IE,1999-01-01,4.9 
T,Y25-74,PC_ACT,IE,2000-01-01,3.8 
T,Y25-74,PC_ACT,IE,2001-01-01,3.3 
T,Y25-74,PC_ACT,IE,2002-01-01,3.7 
T,Y25-74,PC_ACT,IE,2003-01-01,3.8 
T,Y25-74,PC_ACT,IE,2004-01-01,3.7 
T,Y25-74,PC_ACT,IE,2005-01-01,3.7 
T,Y25-74,PC_ACT,IE,2006-01-01,3.8 
T,Y25-74,PC_ACT,IE,2007-01-01,4.0
T,Y25-74,PC_ACT,IE,2008-01-01,5.3 
T,Y25-74,PC_ACT,IE,2009-01-01,10.3 
T,Y25-74,PC_ACT,IE,2010-01-01,12.3 
T,Y25-74,PC_ACT,IE,2011-01-01,13.2 
T,Y25-74,PC_ACT,IE,2012-01-01,13.2
T,Y25-74,PC_ACT,IE,2013-01-01,11.9
T,Y25-74,PC_ACT,IE,2014-01-01,10.3
T,Y25-74,PC_ACT,IE,2015-01-01,8.6
T,Y25-74,PC_ACT,IE,2016-01-01,7.2
T,Y25-74,PC_ACT,IE,2017-01-01,5.7 
T,Y25-74,PC_ACT,IT,1995-01-01,8.1 
T,Y25-74,PC_ACT,IT,1996-01-01,8.3 
T,Y25-74,PC_ACT,IT,1997-01-01,8.5 
T,Y25-74,PC_ACT,IT,1998-01-01,8.7 
T,Y25-74,PC_ACT,IT,1999-01-01,8.5 
T,Y25-74,PC_ACT,IT,2000-01-01,7.9 
T,Y25-74,PC_ACT,IT,2001-01-01,7.3 
T,Y25-74,PC_ACT,IT,2002-01-01,6.9 
T,Y25-74,PC_ACT,IT,2003-01-01,6.8 
T,Y25-74,PC_ACT,IT,2004-01-01,6.5 
T,Y25-74,PC_ACT,IT,2005-01-01,6.2 
T,Y25-74,PC_ACT,IT,2006-01-01,5.5 
T,Y25-74,PC_ACT,IT,2007-01-01,4.9
T,Y25-74,PC_ACT,IT,2008-01-01,5.6 
