unit,nace_r2,na_item,geo\time,date,value
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2016-04-01,-4.2 
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2016-07-01,-1.2 
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2016-10-01,-4.2 
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2017-01-01,4.2 p
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2017-04-01,8.9 p
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2017-07-01,-6.6 p
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2017-10-01,-0.9 p
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2018-01-01,3.2 p
PCH_PRE_PERS_SCA,A,EMP_DC,RO,2018-04-01,-4.5 p
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2015-07-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2015-10-01,-3.9 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2016-01-01,1.6 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2016-04-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2016-07-01,-2.0 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2016-10-01,1.0 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2017-01-01,-0.9 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2017-04-01,2.0 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2017-07-01,-0.8 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2017-10-01,-0.9 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2018-01-01,-2.2 
PCH_PRE_PERS_SCA,A,EMP_DC,SE,2018-04-01,-3.3 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2015-07-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2015-10-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2016-01-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2016-04-01,-0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2016-07-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2016-10-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2017-01-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2017-04-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2017-07-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2017-10-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2018-01-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,SI,2018-04-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2015-07-01,2.5 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2015-10-01,14.6 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2016-01-01,-10.2 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2016-04-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2016-07-01,3.2 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2016-10-01,4.5 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2017-01-01,6.1 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2017-04-01,-2.4 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2017-07-01,-1.5 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2017-10-01,3.7 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2018-01-01,-3.1 
PCH_PRE_PERS_SCA,A,EMP_DC,UK,2018-04-01,-11.2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2015-07-01,0.2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2015-10-01,0.1 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2016-01-01,0.2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2016-04-01,0.1 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2016-07-01,0.3 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2016-10-01,0.2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2017-01-01,0.4 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2017-04-01,0.5 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2017-07-01,0.6 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2017-10-01,0.7 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2018-01-01,0.9 
PCH_PRE_PERS_SCA,B-E,EMP_DC,AT,2018-04-01,0.7 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2015-07-01,-0.1 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2015-10-01,-0.1 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2016-01-01,0.2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2016-04-01,0.2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2016-07-01,0.1 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2016-10-01,-0.1 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2017-01-01,0.3 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2017-04-01,0.1 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2017-07-01,0.0 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2017-10-01,0.2 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2018-01-01,0.5 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BE,2018-04-01,0.5 
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2015-07-01,0.4 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2015-10-01,-0.1 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2016-01-01,0.0 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2016-04-01,0.1 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2016-07-01,1.2 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2016-10-01,-0.6 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2017-01-01,0.9 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2017-04-01,0.3 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2017-07-01,0.2 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2017-10-01,-0.4 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2018-01-01,0.9 p
PCH_PRE_PERS_SCA,B-E,EMP_DC,BG,2018-04-01,-0.1 p
