currency,bop_item,sector10,sectpart,partner,stk_flow,geotime,date,value
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,CZ,2017-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,1999-01-01,1027861
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2000-01-01,1205707
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2001-01-01,1319934
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2002-01-01,1329293
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2003-01-01,1324745
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2004-01-01,1359087
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2005-01-01,1464453
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2006-01-01,1584351
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2007-01-01,1682777
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2008-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2009-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2010-01-01,
MIO_NAC,FA__O__F,S1,S1,WRL_REST,L_LE,DE,2011-01-01,
