unit,tax,nace_r2,geotime,date,value
PC,NRG,G,IE,2004-01-01,10.3
PC,NRG,G,IE,2005-01-01,9.8
PC,NRG,G,IE,2006-01-01,8.7
PC,NRG,G,IE,2007-01-01,8.4
PC,NRG,G,IE,2008-01-01,9.1
PC,NRG,G,IE,2009-01-01,9.7
PC,NRG,G,IE,2010-01-01,7.4
PC,NRG,G,IE,2011-01-01,6.9
PC,NRG,G,IE,2012-01-01,6.3
PC,NRG,G,IE,2013-01-01,7.3
PC,NRG,G,IE,2014-01-01,8.0
PC,NRG,G,IE,2015-01-01,8.6
PC,NRG,G,IE,2016-01-01,8.8
PC,NRG,G,IT,1995-01-01,6.6
PC,NRG,G,IT,1996-01-01,6.1
PC,NRG,G,IT,1997-01-01,5.8
PC,NRG,G,IT,1998-01-01,6.0
PC,NRG,G,IT,1999-01-01,6.0
PC,NRG,G,IT,2000-01-01,5.6
PC,NRG,G,IT,2001-01-01,5.8
PC,NRG,G,IT,2002-01-01,5.6
PC,NRG,G,IT,2003-01-01,5.4
PC,NRG,G,IT,2004-01-01,5.2
PC,NRG,G,IT,2005-01-01,5.3
PC,NRG,G,IT,2006-01-01,5.1
PC,NRG,G,IT,2007-01-01,4.5
PC,NRG,G,IT,2008-01-01,4.8
PC,NRG,G,IT,2009-01-01,4.8
PC,NRG,G,IT,2010-01-01,4.6
PC,NRG,G,IT,2011-01-01,5.0
PC,NRG,G,IT,2012-01-01,5.1
PC,NRG,G,IT,2013-01-01,5.2
PC,NRG,G,IT,2014-01-01,5.1
PC,NRG,G,IT,2015-01-01,5.1
PC,NRG,G,IT,2016-01-01,
PC,NRG,G,LT,1995-01-01,
PC,NRG,G,LT,1996-01-01,
PC,NRG,G,LT,1997-01-01,
PC,NRG,G,LT,1998-01-01,
PC,NRG,G,LT,1999-01-01,
PC,NRG,G,LT,2000-01-01,
PC,NRG,G,LT,2001-01-01,
PC,NRG,G,LT,2002-01-01,
PC,NRG,G,LT,2003-01-01,
PC,NRG,G,LT,2004-01-01,
PC,NRG,G,LT,2005-01-01,
PC,NRG,G,LT,2006-01-01,
PC,NRG,G,LT,2007-01-01,
PC,NRG,G,LT,2008-01-01,11.2
PC,NRG,G,LT,2009-01-01,11.2
PC,NRG,G,LT,2010-01-01,11.2
PC,NRG,G,LT,2011-01-01,16.3
PC,NRG,G,LT,2012-01-01,7.3
PC,NRG,G,LT,2013-01-01,8.2
PC,NRG,G,LT,2014-01-01,20.0
PC,NRG,G,LT,2015-01-01,19.9
PC,NRG,G,LT,2016-01-01,
PC,NRG,G,LU,1995-01-01,2.4
PC,NRG,G,LU,1996-01-01,3.1
PC,NRG,G,LU,1997-01-01,3.5
PC,NRG,G,LU,1998-01-01,3.1
