s_adj,age,sex,unit,geo\time,date,value
SA,Y_LT25,F,PC_ACT,PT,2018-04-01,20.1 
SA,Y_LT25,F,PC_ACT,PT,2018-05-01,23.2 
SA,Y_LT25,F,PC_ACT,PT,2018-06-01,20.8 
SA,Y_LT25,F,PC_ACT,PT,2018-07-01,21.3 
SA,Y_LT25,F,PC_ACT,PT,2018-08-01,20.5 
SA,Y_LT25,F,PC_ACT,PT,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,RO,2017-10-01,20.5 
SA,Y_LT25,F,PC_ACT,RO,2017-11-01,20.5 
SA,Y_LT25,F,PC_ACT,RO,2017-12-01,20.5 
SA,Y_LT25,F,PC_ACT,RO,2018-01-01,16.5 
SA,Y_LT25,F,PC_ACT,RO,2018-02-01,16.5 
SA,Y_LT25,F,PC_ACT,RO,2018-03-01,16.5 
SA,Y_LT25,F,PC_ACT,RO,2018-04-01,15.6 
SA,Y_LT25,F,PC_ACT,RO,2018-05-01,15.6 
SA,Y_LT25,F,PC_ACT,RO,2018-06-01,15.6 
SA,Y_LT25,F,PC_ACT,RO,2018-07-01,: 
SA,Y_LT25,F,PC_ACT,RO,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,RO,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,SE,2017-10-01,14.1 
SA,Y_LT25,F,PC_ACT,SE,2017-11-01,17.3 
SA,Y_LT25,F,PC_ACT,SE,2017-12-01,16.7 
SA,Y_LT25,F,PC_ACT,SE,2018-01-01,15.6 
SA,Y_LT25,F,PC_ACT,SE,2018-02-01,14.3 
SA,Y_LT25,F,PC_ACT,SE,2018-03-01,15.0 
SA,Y_LT25,F,PC_ACT,SE,2018-04-01,13.9 
SA,Y_LT25,F,PC_ACT,SE,2018-05-01,12.1 
SA,Y_LT25,F,PC_ACT,SE,2018-06-01,16.3 
SA,Y_LT25,F,PC_ACT,SE,2018-07-01,17.6 
SA,Y_LT25,F,PC_ACT,SE,2018-08-01,17.3 
SA,Y_LT25,F,PC_ACT,SE,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,SI,2017-10-01,12.6 
SA,Y_LT25,F,PC_ACT,SI,2017-11-01,12.6 
SA,Y_LT25,F,PC_ACT,SI,2017-12-01,12.6 
SA,Y_LT25,F,PC_ACT,SI,2018-01-01,12.1 
SA,Y_LT25,F,PC_ACT,SI,2018-02-01,12.1 
SA,Y_LT25,F,PC_ACT,SI,2018-03-01,12.1 
SA,Y_LT25,F,PC_ACT,SI,2018-04-01,10.3 
SA,Y_LT25,F,PC_ACT,SI,2018-05-01,10.3 
SA,Y_LT25,F,PC_ACT,SI,2018-06-01,10.3 
SA,Y_LT25,F,PC_ACT,SI,2018-07-01,: 
SA,Y_LT25,F,PC_ACT,SI,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,SI,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,SK,2017-10-01,20.3 
SA,Y_LT25,F,PC_ACT,SK,2017-11-01,20.1 
SA,Y_LT25,F,PC_ACT,SK,2017-12-01,19.4 
SA,Y_LT25,F,PC_ACT,SK,2018-01-01,18.3 
SA,Y_LT25,F,PC_ACT,SK,2018-02-01,17.5 
SA,Y_LT25,F,PC_ACT,SK,2018-03-01,17.1 
SA,Y_LT25,F,PC_ACT,SK,2018-04-01,17.3 
SA,Y_LT25,F,PC_ACT,SK,2018-05-01,17.6 
SA,Y_LT25,F,PC_ACT,SK,2018-06-01,17.5 
SA,Y_LT25,F,PC_ACT,SK,2018-07-01,17.1 
SA,Y_LT25,F,PC_ACT,SK,2018-08-01,16.9 
SA,Y_LT25,F,PC_ACT,SK,2018-09-01,: 
